Chronic_ID,Chronic_Condition,Risk_Modifier_Score,High_Risk_With_Symptoms,Associated_Department,Complication_Risk_Level
CHRON00050,Asthma Stage IV,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Pulmonology,Very High
CHRON00051,Asthma Mild,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Pulmonology,Moderate
CHRON00052,Asthma Moderate,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Moderate
CHRON00053,Asthma Severe,4,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Very High
CHRON00054,Asthma Controlled,1,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Moderate
CHRON00055,Asthma Uncontrolled,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Pulmonology,High
CHRON00056,CKD Type 1,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Nephrology,Low
CHRON00057,CKD Type 2,2,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Moderate
CHRON00058,CKD Stage I,1,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Low
CHRON00059,CKD Stage II,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Nephrology,Moderate
CHRON00060,CKD Stage III,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Nephrology,High
CHRON00061,CKD Stage IV,5,"Symptom_0, Symptom_1, Symptom_2",Nephrology,High
CHRON00062,CKD Mild,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,Moderate
CHRON00063,CKD Moderate,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Moderate
CHRON00064,CKD Severe,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Nephrology,Very High
CHRON00065,CKD Controlled,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Nephrology,Low
CHRON00066,CKD Uncontrolled,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Nephrology,High
CHRON00067,Liver Disease Type 1,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Moderate
CHRON00068,Liver Disease Type 2,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",General Medicine,Moderate
CHRON00069,Liver Disease Stage I,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",General Medicine,Low
CHRON00070,Liver Disease Stage II,2,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Moderate
CHRON00071,Liver Disease Stage III,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Moderate
CHRON00072,Liver Disease Stage IV,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Very High
CHRON00073,Liver Disease Mild,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",General Medicine,Moderate
CHRON00074,Liver Disease Moderate,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,High
CHRON00075,Liver Disease Severe,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,High
CHRON00076,Liver Disease Controlled,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",General Medicine,Moderate
CHRON00077,Liver Disease Uncontrolled,4,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Very High
CHRON00078,Cancer Type 1,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,Low
CHRON00079,Cancer Type 2,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Oncology,Moderate
CHRON00080,Cancer Stage I,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Low
CHRON00081,Cancer Stage II,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,High
CHRON00082,Cancer Stage III,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Moderate
CHRON00083,Cancer Stage IV,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,Very High
CHRON00084,Cancer Mild,2,"Symptom_0, Symptom_1, Symptom_2",Oncology,Moderate
CHRON00085,Cancer Moderate,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Moderate
CHRON00086,Cancer Severe,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,Very High
CHRON00087,Cancer Controlled,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Moderate
CHRON00088,Cancer Uncontrolled,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,High
CHRON00089,HIV/AIDS Type 1,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",General Medicine,Low
CHRON00090,HIV/AIDS Type 2,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Moderate
CHRON00091,HIV/AIDS Stage I,2,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Low
CHRON00092,HIV/AIDS Stage II,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,High
CHRON00093,HIV/AIDS Stage III,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",General Medicine,High
CHRON00094,HIV/AIDS Stage IV,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",General Medicine,Very High
CHRON00095,HIV/AIDS Mild,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Low
CHRON00096,HIV/AIDS Moderate,3,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Moderate
CHRON00097,HIV/AIDS Severe,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,High
CHRON00098,HIV/AIDS Controlled,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",General Medicine,Low
CHRON00099,HIV/AIDS Uncontrolled,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",General Medicine,Very High
CHRON00100,Arthritis Type 1,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Rheumatology,Moderate
CHRON00101,Arthritis Type 2,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Rheumatology,Moderate
CHRON00102,Arthritis Stage I,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Rheumatology,Moderate
CHRON00103,Arthritis Stage II,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Rheumatology,High
CHRON00104,Arthritis Stage III,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,Moderate
CHRON00105,Arthritis Stage IV,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Very High
CHRON00106,Arthritis Mild,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Low
CHRON00107,Arthritis Moderate,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Moderate
CHRON00108,Arthritis Severe,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,Very High
CHRON00109,Arthritis Controlled,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,Low
CHRON00110,Arthritis Uncontrolled,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,High
CHRON00111,Obesity Type 1,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",General Medicine,Low
CHRON00112,Obesity Type 2,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",General Medicine,Moderate
CHRON00113,Obesity Stage I,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Moderate
CHRON00114,Obesity Stage II,2,"Symptom_0, Symptom_1, Symptom_2",General Medicine,High
CHRON00115,Obesity Stage III,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,High
CHRON00116,Obesity Stage IV,3,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Very High
CHRON00117,Obesity Mild,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Low
CHRON00118,Obesity Moderate,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",General Medicine,High
CHRON00119,Obesity Severe,5,"Symptom_0, Symptom_1, Symptom_2",General Medicine,High
CHRON00120,Obesity Controlled,2,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Low
CHRON00121,Obesity Uncontrolled,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Very High
CHRON00122,Depression Type 1,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Psychiatry,Low
CHRON00123,Depression Type 2,2,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Moderate
CHRON00124,Depression Stage I,2,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Low
CHRON00125,Depression Stage II,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Psychiatry,Moderate
CHRON00126,Depression Stage III,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Psychiatry,Moderate
CHRON00127,Depression Stage IV,4,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Very High
CHRON00128,Depression Mild,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Psychiatry,Low
CHRON00129,Depression Moderate,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,Moderate
CHRON00130,Depression Severe,3,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Very High
CHRON00131,Depression Controlled,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,Moderate
CHRON00132,Depression Uncontrolled,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Psychiatry,Very High
CHRON00133,Anxiety Type 1,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,Low
CHRON00134,Anxiety Type 2,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Psychiatry,Low
CHRON00135,Anxiety Stage I,1,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Low
CHRON00136,Anxiety Stage II,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Psychiatry,Moderate
CHRON00137,Anxiety Stage III,2,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Moderate
CHRON00138,Anxiety Stage IV,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Psychiatry,Very High
CHRON00139,Anxiety Mild,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,Low
CHRON00140,Anxiety Moderate,3,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,High
CHRON00141,Anxiety Severe,4,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,High
CHRON00142,Anxiety Controlled,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Psychiatry,Low
CHRON00143,Anxiety Uncontrolled,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Psychiatry,High
CHRON00144,Thyroid Disorder Type 1,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Endocrinology,Low
CHRON00145,Thyroid Disorder Type 2,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Endocrinology,Low
CHRON00146,Thyroid Disorder Stage I,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,Low
CHRON00147,Thyroid Disorder Stage II,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,Moderate
CHRON00148,Thyroid Disorder Stage III,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,High
CHRON00149,Thyroid Disorder Stage IV,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Endocrinology,Very High
CHRON00150,Thyroid Disorder Mild,1,"Symptom_0, Symptom_1, Symptom_2",Endocrinology,Moderate
CHRON00151,Thyroid Disorder Moderate,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Endocrinology,Moderate
CHRON00152,Thyroid Disorder Severe,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,High
CHRON00153,Thyroid Disorder Controlled,2,"Symptom_0, Symptom_1, Symptom_2",Endocrinology,Low
CHRON00154,Thyroid Disorder Uncontrolled,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,Very High
CHRON00155,Autoimmune Disease Type 1,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",General Medicine,Low
CHRON00156,Autoimmune Disease Type 2,2,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Low
CHRON00157,Autoimmune Disease Stage I,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Moderate
CHRON00158,Autoimmune Disease Stage II,2,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Moderate
CHRON00159,Autoimmune Disease Stage III,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",General Medicine,Moderate
CHRON00160,Autoimmune Disease Stage IV,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Very High
CHRON00161,Autoimmune Disease Mild,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Low
CHRON00162,Autoimmune Disease Moderate,2,"Symptom_0, Symptom_1, Symptom_2",General Medicine,High
CHRON00163,Autoimmune Disease Severe,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",General Medicine,High
CHRON00164,Autoimmune Disease Controlled,1,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Low
CHRON00165,Autoimmune Disease Uncontrolled,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",General Medicine,High
CHRON00166,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,Low
CHRON00167,Sedentary Lifestyle,2,"Symptom_0, Symptom_1, Symptom_2",Endocrinology,Low
CHRON00168,Alcohol Use,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Low
CHRON00169,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Pulmonology,Moderate
CHRON00170,Age 80+,1,"Symptom_0, Symptom_1",Psychiatry,Moderate
CHRON00171,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Very High
CHRON00172,Diabetes + Hypertension,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,Moderate
CHRON00173,Smoking,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,Moderate
CHRON00174,Diabetes + Hypertension,3,"Symptom_0, Symptom_1",Pulmonology,Low
CHRON00175,Stress,1,"Symptom_0, Symptom_1",Oncology,Very High
CHRON00176,Heart Disease + CKD,3,"Symptom_0, Symptom_1",Oncology,Very High
CHRON00177,Smoking,2,"Symptom_0, Symptom_1",Rheumatology,High
CHRON00178,Age 80+,2,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Moderate
CHRON00179,Sedentary Lifestyle,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,High
CHRON00180,Heart Disease + CKD,5,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,Moderate
CHRON00181,Sedentary Lifestyle,1,"Symptom_0, Symptom_1",Nephrology,Low
CHRON00182,Age 40-50,1,"Symptom_0, Symptom_1",Pulmonology,High
CHRON00183,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Moderate
CHRON00184,Poor Diet,2,"Symptom_0, Symptom_1",Pulmonology,Moderate
CHRON00185,Diabetes + Hypertension,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Low
CHRON00186,Age 80+,1,"Symptom_0, Symptom_1",General Medicine,Moderate
CHRON00187,Alcohol Use,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Low
CHRON00188,Age 70-80,2,"Symptom_0, Symptom_1",Pulmonology,Very High
CHRON00189,Age 70-80,3,"Symptom_0, Symptom_1",Rheumatology,High
CHRON00190,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,Very High
CHRON00191,Diabetes + Hypertension,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Very High
CHRON00192,Alcohol Use,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Pulmonology,Low
CHRON00193,Age 70-80,3,"Symptom_0, Symptom_1",Rheumatology,Very High
CHRON00194,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Low
CHRON00195,Age 60-70,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Pulmonology,Very High
CHRON00196,Age 70-80,2,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,Moderate
CHRON00197,Age 80+,1,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Low
CHRON00198,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2",Cardiology,High
CHRON00199,Age 50-60,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,High
CHRON00200,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Low
CHRON00201,Poor Diet,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,Low
CHRON00202,Stress,1,"Symptom_0, Symptom_1",Pulmonology,Moderate
CHRON00203,Stress,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Pulmonology,Low
CHRON00204,Age 40-50,2,"Symptom_0, Symptom_1",Psychiatry,Low
CHRON00205,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Very High
CHRON00206,Stress,2,"Symptom_0, Symptom_1, Symptom_2",Endocrinology,Moderate
CHRON00207,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Moderate
CHRON00208,Age 40-50,2,"Symptom_0, Symptom_1",General Medicine,Moderate
CHRON00209,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Low
CHRON00210,Heart Disease + CKD,5,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Very High
CHRON00211,Sedentary Lifestyle,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,High
CHRON00212,Age 80+,2,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Very High
CHRON00213,Age 80+,3,"Symptom_0, Symptom_1",Oncology,High
CHRON00214,Poor Diet,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Very High
CHRON00215,Stress,1,"Symptom_0, Symptom_1",Oncology,Low
CHRON00216,Age 60-70,3,"Symptom_0, Symptom_1",Oncology,Low
CHRON00217,Heart Disease + CKD,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Pulmonology,Moderate
CHRON00218,Age 60-70,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Very High
CHRON00219,Stress,1,"Symptom_0, Symptom_1, Symptom_2",General Medicine,High
CHRON00220,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Very High
CHRON00221,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,High
CHRON00222,Age 50-60,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,Moderate
CHRON00223,Sedentary Lifestyle,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,Low
CHRON00224,Age 50-60,2,"Symptom_0, Symptom_1",General Medicine,Low
CHRON00225,Diabetes + Hypertension,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,Low
