Symptom_ID,Symptom_Name,Base_Severity,Emergency_Trigger,Associated_Department,Possible_Linked_Conditions,Typical_Duration_Days
SYMP00108,acute palpitations,7,True,Cardiology,"Condition_0, Condition_1",29
SYMP00109,chronic palpitations,3,False,Cardiology,"Condition_0, Condition_1",2
SYMP00110,sudden palpitations,8,True,Cardiology,"Condition_0, Condition_1, Condition_2",26
SYMP00111,persistent palpitations,7,True,Cardiology,"Condition_0, Condition_1, Condition_2",24
SYMP00112,intermittent palpitations,5,False,Cardiology,"Condition_0, Condition_1",6
SYMP00113,mild irregular heartbeat,5,False,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",21
SYMP00114,moderate irregular heartbeat,5,False,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",28
SYMP00115,severe irregular heartbeat,10,True,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",27
SYMP00116,acute irregular heartbeat,9,True,Cardiology,"Condition_0, Condition_1, Condition_2",5
SYMP00117,chronic irregular heartbeat,3,False,Cardiology,"Condition_0, Condition_1, Condition_2",1
SYMP00118,sudden irregular heartbeat,10,True,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3",23
SYMP00119,persistent irregular heartbeat,6,False,Cardiology,"Condition_0, Condition_1",14
SYMP00120,intermittent irregular heartbeat,5,False,Cardiology,"Condition_0, Condition_1, Condition_2",6
SYMP00121,mild rapid heartbeat,3,False,Cardiology,"Condition_0, Condition_1",17
SYMP00122,moderate rapid heartbeat,4,True,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3",14
SYMP00123,severe rapid heartbeat,8,True,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",17
SYMP00124,acute rapid heartbeat,8,False,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3",3
SYMP00125,chronic rapid heartbeat,5,False,Cardiology,"Condition_0, Condition_1, Condition_2",9
SYMP00126,sudden rapid heartbeat,10,True,Cardiology,"Condition_0, Condition_1, Condition_2",21
SYMP00127,persistent rapid heartbeat,5,False,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3",1
SYMP00128,intermittent rapid heartbeat,2,False,Cardiology,"Condition_0, Condition_1, Condition_2",16
SYMP00129,mild chest tightness,4,False,Cardiology,"Condition_0, Condition_1",23
SYMP00130,moderate chest tightness,5,True,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",1
SYMP00131,severe chest tightness,10,True,Cardiology,"Condition_0, Condition_1",1
SYMP00132,acute chest tightness,9,True,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3",13
SYMP00133,chronic chest tightness,5,False,Cardiology,"Condition_0, Condition_1",16
SYMP00134,sudden chest tightness,9,True,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",7
SYMP00135,persistent chest tightness,7,True,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3",4
SYMP00136,intermittent chest tightness,4,False,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3",24
SYMP00137,mild dizziness,3,False,Neurology,"Condition_0, Condition_1",8
SYMP00138,moderate dizziness,5,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",12
SYMP00139,severe dizziness,9,True,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",13
SYMP00140,acute dizziness,10,True,Neurology,"Condition_0, Condition_1, Condition_2",10
SYMP00141,chronic dizziness,3,False,Neurology,"Condition_0, Condition_1",25
SYMP00142,sudden dizziness,10,True,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",28
SYMP00143,persistent dizziness,6,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",9
SYMP00144,intermittent dizziness,4,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",5
SYMP00145,mild confusion,1,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",23
SYMP00146,moderate confusion,7,False,Neurology,"Condition_0, Condition_1",9
SYMP00147,severe confusion,7,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",13
SYMP00148,acute confusion,9,True,Neurology,"Condition_0, Condition_1, Condition_2",18
SYMP00149,chronic confusion,5,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",2
SYMP00150,sudden confusion,9,True,Neurology,"Condition_0, Condition_1, Condition_2",20
SYMP00151,persistent confusion,6,False,Neurology,"Condition_0, Condition_1",27
SYMP00152,intermittent confusion,1,False,Neurology,"Condition_0, Condition_1",25
SYMP00153,mild weakness,2,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",24
SYMP00154,moderate weakness,7,True,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",10
SYMP00155,severe weakness,10,True,Neurology,"Condition_0, Condition_1, Condition_2",17
SYMP00156,acute weakness,8,False,Neurology,"Condition_0, Condition_1, Condition_2",23
SYMP00157,chronic weakness,3,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",16
SYMP00158,sudden weakness,10,True,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",22
SYMP00159,persistent weakness,6,False,Neurology,"Condition_0, Condition_1",22
SYMP00160,intermittent weakness,4,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",25
SYMP00161,mild numbness,3,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",1
SYMP00162,moderate numbness,7,False,Neurology,"Condition_0, Condition_1, Condition_2",8
SYMP00163,severe numbness,9,True,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",27
SYMP00164,acute numbness,8,False,Neurology,"Condition_0, Condition_1, Condition_2",2
SYMP00165,chronic numbness,2,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",5
SYMP00166,sudden numbness,8,True,Neurology,"Condition_0, Condition_1",20
SYMP00167,persistent numbness,7,False,Neurology,"Condition_0, Condition_1",24
SYMP00168,intermittent numbness,3,False,Neurology,"Condition_0, Condition_1, Condition_2",4
SYMP00169,mild tingling,3,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",6
SYMP00170,moderate tingling,6,True,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",12
SYMP00171,severe tingling,9,True,Neurology,"Condition_0, Condition_1",2
SYMP00172,acute tingling,10,True,Neurology,"Condition_0, Condition_1, Condition_2",20
SYMP00173,chronic tingling,2,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",13
SYMP00174,sudden tingling,10,True,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",11
SYMP00175,persistent tingling,6,False,Neurology,"Condition_0, Condition_1",8
SYMP00176,intermittent tingling,5,False,Neurology,"Condition_0, Condition_1",8
SYMP00177,mild seizure,3,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",9
SYMP00178,moderate seizure,4,False,Neurology,"Condition_0, Condition_1, Condition_2",7
SYMP00179,severe seizure,10,True,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",4
SYMP00180,acute seizure,10,True,Neurology,"Condition_0, Condition_1",14
SYMP00181,chronic seizure,5,False,Neurology,"Condition_0, Condition_1, Condition_2",10
SYMP00182,sudden seizure,8,False,Neurology,"Condition_0, Condition_1, Condition_2",29
SYMP00183,persistent seizure,5,False,Neurology,"Condition_0, Condition_1, Condition_2",11
SYMP00184,intermittent seizure,3,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",15
SYMP00185,mild nausea,4,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",23
SYMP00186,moderate nausea,6,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",22
SYMP00187,severe nausea,8,True,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",21
SYMP00188,acute nausea,8,True,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",16
SYMP00189,chronic nausea,1,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",27
SYMP00190,sudden nausea,9,True,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",4
SYMP00191,persistent nausea,5,False,Gastroenterology,"Condition_0, Condition_1",3
SYMP00192,intermittent nausea,1,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",8
SYMP00193,mild vomiting,3,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",18
SYMP00194,moderate vomiting,7,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",19
SYMP00195,severe vomiting,8,True,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",15
SYMP00196,acute vomiting,7,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",27
SYMP00197,chronic vomiting,4,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",13
SYMP00198,sudden vomiting,10,True,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",12
SYMP00199,persistent vomiting,6,False,Gastroenterology,"Condition_0, Condition_1",21
SYMP00200,intermittent vomiting,4,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",8
SYMP00201,mild diarrhea,5,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",22
SYMP00202,moderate diarrhea,4,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",27
SYMP00203,severe diarrhea,9,True,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",7
SYMP00204,acute diarrhea,9,True,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",24
SYMP00205,chronic diarrhea,5,False,Gastroenterology,"Condition_0, Condition_1",9
SYMP00206,sudden diarrhea,10,True,Gastroenterology,"Condition_0, Condition_1, Condition_2",20
SYMP00207,persistent diarrhea,4,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",1
SYMP00208,intermittent diarrhea,2,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",17
SYMP00209,mild constipation,4,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",24
SYMP00210,moderate constipation,7,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",15
SYMP00211,severe constipation,8,True,Gastroenterology,"Condition_0, Condition_1, Condition_2",9
SYMP00212,acute constipation,9,True,Gastroenterology,"Condition_0, Condition_1",3
SYMP00213,chronic constipation,4,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",13
SYMP00214,sudden constipation,8,True,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",29
SYMP00215,persistent constipation,7,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",21
SYMP00216,intermittent constipation,3,False,Gastroenterology,"Condition_0, Condition_1",28
SYMP00217,mild bloating,2,False,Gastroenterology,"Condition_0, Condition_1",9
SYMP00218,moderate bloating,5,True,Gastroenterology,"Condition_0, Condition_1",26
SYMP00219,severe bloating,9,True,Gastroenterology,"Condition_0, Condition_1",29
SYMP00220,acute bloating,10,True,Gastroenterology,"Condition_0, Condition_1, Condition_2",1
SYMP00221,chronic bloating,1,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",5
SYMP00222,sudden bloating,9,True,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",12
SYMP00223,persistent bloating,7,False,Gastroenterology,"Condition_0, Condition_1",26
SYMP00224,intermittent bloating,3,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",25
SYMP00225,mild fever,4,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",20
SYMP00226,moderate fever,4,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",3
SYMP00227,severe fever,9,True,General Medicine,"Condition_0, Condition_1",5
SYMP00228,acute fever,10,True,General Medicine,"Condition_0, Condition_1, Condition_2",20
SYMP00229,chronic fever,3,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",18
SYMP00230,sudden fever,9,True,General Medicine,"Condition_0, Condition_1, Condition_2",27
SYMP00231,persistent fever,5,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",16
SYMP00232,intermittent fever,3,False,General Medicine,"Condition_0, Condition_1",18
SYMP00233,mild fatigue,2,False,General Medicine,"Condition_0, Condition_1, Condition_2",3
SYMP00234,moderate fatigue,7,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",26
SYMP00235,severe fatigue,8,True,General Medicine,"Condition_0, Condition_1",26
SYMP00236,acute fatigue,8,False,General Medicine,"Condition_0, Condition_1, Condition_2",21
SYMP00237,chronic fatigue,1,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",29
SYMP00238,sudden fatigue,7,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",2
SYMP00239,persistent fatigue,6,False,General Medicine,"Condition_0, Condition_1",19
SYMP00240,intermittent fatigue,2,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",10
SYMP00241,mild sweating,1,False,General Medicine,"Condition_0, Condition_1",5
SYMP00242,moderate sweating,7,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",19
SYMP00243,severe sweating,7,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",8
SYMP00244,acute sweating,8,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",18
SYMP00245,chronic sweating,2,False,General Medicine,"Condition_0, Condition_1",28
SYMP00246,sudden sweating,8,True,General Medicine,"Condition_0, Condition_1, Condition_2",7
SYMP00247,persistent sweating,7,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",8
SYMP00248,intermittent sweating,1,False,General Medicine,"Condition_0, Condition_1",12
SYMP00249,mild chills,5,False,General Medicine,"Condition_0, Condition_1",5
SYMP00250,moderate chills,6,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",10
SYMP00251,severe chills,7,False,General Medicine,"Condition_0, Condition_1, Condition_2",8
SYMP00252,acute chills,7,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",24
SYMP00253,chronic chills,3,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",2
SYMP00254,sudden chills,8,False,General Medicine,"Condition_0, Condition_1",25
SYMP00255,persistent chills,6,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",21
SYMP00256,intermittent chills,1,False,General Medicine,"Condition_0, Condition_1, Condition_2",12
SYMP00257,mild weight loss,5,False,General Medicine,"Condition_0, Condition_1",1
SYMP00258,moderate weight loss,4,False,General Medicine,"Condition_0, Condition_1",23
SYMP00259,severe weight loss,10,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",18
SYMP00260,acute weight loss,10,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",20
SYMP00261,chronic weight loss,1,False,General Medicine,"Condition_0, Condition_1, Condition_2",2
SYMP00262,sudden weight loss,8,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",6
SYMP00263,persistent weight loss,7,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",11
SYMP00264,intermittent weight loss,4,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",2
SYMP00265,mild blurred vision,2,False,General Medicine,"Condition_0, Condition_1",4
SYMP00266,moderate blurred vision,7,False,General Medicine,"Condition_0, Condition_1, Condition_2",25
SYMP00267,severe blurred vision,7,True,General Medicine,"Condition_0, Condition_1",28
SYMP00268,acute blurred vision,10,True,General Medicine,"Condition_0, Condition_1, Condition_2",19
SYMP00269,chronic blurred vision,5,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",8
SYMP00270,sudden blurred vision,10,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",23
SYMP00271,persistent blurred vision,4,False,General Medicine,"Condition_0, Condition_1, Condition_2",25
SYMP00272,intermittent blurred vision,5,False,General Medicine,"Condition_0, Condition_1",14
SYMP00273,mild hearing loss,5,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",18
SYMP00274,moderate hearing loss,7,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",23
SYMP00275,severe hearing loss,8,False,General Medicine,"Condition_0, Condition_1, Condition_2",12
SYMP00276,acute hearing loss,9,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",27
SYMP00277,chronic hearing loss,4,False,General Medicine,"Condition_0, Condition_1",13
SYMP00278,sudden hearing loss,9,True,General Medicine,"Condition_0, Condition_1",17
SYMP00279,persistent hearing loss,4,False,General Medicine,"Condition_0, Condition_1, Condition_2",17
SYMP00280,intermittent hearing loss,1,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",13
SYMP00281,mild loss of taste,3,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",9
SYMP00282,moderate loss of taste,7,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",24
SYMP00283,severe loss of taste,7,False,General Medicine,"Condition_0, Condition_1",16
SYMP00284,acute loss of taste,7,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",17
