Doctor_ID,Specialization,Subspecialty,Experience_Years,Max_Patients_Per_Hour,Critical_Case_Certified,Performance_Score,Preferred_Case_Types,Consultation_Fee,Availability_Hours_Per_Week
DOC00038,Emergency,Toxicology,12,5,Yes,7.7,Emergency Cases,2039,72
DOC00039,Emergency,Toxicology,3,5,Yes,6.6,Emergency Cases,3524,41
DOC00040,Emergency,Critical Care,9,5,Yes,7.1,Emergency Cases,717,54
DOC00041,Emergency,Trauma,1,5,No,5.7,Emergency Cases,2326,43
DOC00042,Emergency,Toxicology,8,5,Yes,7.0,Emergency Cases,4790,47
DOC00043,Emergency,Critical Care,4,5,Yes,6.3,Emergency Cases,4499,42
DOC00044,Emergency,Toxicology,6,5,Yes,6.4,Emergency Cases,2723,43
DOC00045,Emergency,Toxicology,12,5,Yes,8.1,Emergency Cases,2631,79
DOC00046,Emergency,Critical Care,10,5,Yes,7.4,Emergency Cases,853,76
DOC00047,Emergency,Toxicology,18,5,Yes,9.4,Emergency Cases,803,68
DOC00048,Emergency,Toxicology,10,5,Yes,8.9,Emergency Cases,3749,65
DOC00049,Emergency,Critical Care,3,5,No,7.0,Emergency Cases,1180,76
DOC00050,Emergency,Toxicology,11,5,Yes,7.8,Emergency Cases,1082,64
DOC00051,Emergency,Pediatric EM,11,5,Yes,9.0,Emergency Cases,3714,54
DOC00052,Emergency,Critical Care,6,5,Yes,7.4,Emergency Cases,510,60
DOC00053,Emergency,Trauma,8,5,Yes,6.5,Emergency Cases,1488,64
DOC00054,Emergency,Toxicology,7,5,Yes,7.3,Emergency Cases,4443,54
DOC00055,Emergency,Toxicology,24,5,Yes,10.0,Emergency Cases,1345,47
DOC00056,Emergency,Pediatric EM,8,5,Yes,6.8,Emergency Cases,3137,77
DOC00057,Emergency,Trauma,1,5,No,5.3,Emergency Cases,3666,55
DOC00058,Emergency,Trauma,14,5,Yes,8.0,Emergency Cases,3183,50
DOC00059,Emergency,Critical Care,3,5,Yes,5.9,Emergency Cases,1423,61
DOC00060,Emergency,Pediatric EM,13,5,Yes,8.3,Emergency Cases,3771,70
DOC00061,Emergency,Pediatric EM,11,5,Yes,8.0,Emergency Cases,911,54
DOC00062,Emergency,Pediatric EM,4,5,Yes,5.6,Emergency Cases,2575,69
DOC00063,Emergency,Critical Care,20,5,Yes,10.0,Emergency Cases,3874,75
DOC00064,Emergency,Toxicology,21,5,Yes,10.0,Emergency Cases,818,66
DOC00065,Emergency,Pediatric EM,37,5,Yes,10.0,Emergency Cases,3000,77
DOC00066,Emergency,Pediatric EM,16,5,Yes,10.0,Emergency Cases,3395,79
DOC00067,Emergency,Trauma,12,5,Yes,8.8,Emergency Cases,2882,40
DOC00068,Emergency,Toxicology,14,5,Yes,8.9,Emergency Cases,4268,66
DOC00069,Emergency,Trauma,9,5,Yes,7.4,Emergency Cases,1417,72
DOC00070,Emergency,Toxicology,5,5,Yes,7.1,Emergency Cases,788,58
DOC00071,Emergency,Critical Care,2,5,No,6.0,Emergency Cases,2914,51
DOC00072,Emergency,Toxicology,2,5,Yes,5.7,Emergency Cases,1754,67
DOC00073,Emergency,Toxicology,11,5,Yes,9.0,Emergency Cases,3917,47
DOC00074,Emergency,Toxicology,12,5,Yes,8.2,Emergency Cases,1669,79
DOC00075,Emergency,Pediatric EM,3,5,No,6.8,Emergency Cases,3729,42
DOC00076,Emergency,Critical Care,11,5,Yes,9.1,Emergency Cases,3842,56
DOC00077,Emergency,Critical Care,11,5,Yes,8.5,Emergency Cases,800,51
DOC00078,Emergency,Pediatric EM,9,5,Yes,7.7,Emergency Cases,3779,73
DOC00079,Emergency,Critical Care,8,5,Yes,8.1,Emergency Cases,2009,61
DOC00080,Emergency,Trauma,4,5,Yes,6.4,Emergency Cases,1012,72
DOC00081,Emergency,Pediatric EM,2,5,No,6.6,Emergency Cases,4424,63
DOC00082,Emergency,Toxicology,2,5,No,5.9,Emergency Cases,3020,64
DOC00083,Emergency,Toxicology,4,5,Yes,5.6,Emergency Cases,612,67
DOC00084,Emergency,Trauma,7,5,Yes,6.4,Emergency Cases,1078,69
DOC00085,Emergency,Critical Care,23,5,Yes,10.0,Emergency Cases,1803,68
DOC00086,Emergency,Critical Care,6,5,Yes,6.4,Emergency Cases,687,65
DOC00087,Emergency,Toxicology,2,5,No,5.0,Emergency Cases,4936,50
DOC00088,Emergency,Toxicology,9,5,Yes,8.1,Emergency Cases,4200,40
DOC00089,Emergency,Toxicology,8,5,Yes,6.6,Emergency Cases,3499,78
DOC00090,Emergency,Pediatric EM,8,5,Yes,8.5,Emergency Cases,4140,43
DOC00091,Emergency,Trauma,26,5,Yes,10.0,Emergency Cases,4273,62
DOC00092,Emergency,Pediatric EM,37,5,Yes,10.0,Emergency Cases,2110,51
DOC00093,Emergency,Critical Care,23,5,Yes,10.0,Emergency Cases,667,62
DOC00094,Emergency,Toxicology,3,5,Yes,5.4,Emergency Cases,2079,64
DOC00095,Emergency,Pediatric EM,17,5,Yes,10.0,Emergency Cases,3387,44
DOC00096,Emergency,Critical Care,8,5,Yes,8.0,Emergency Cases,3135,57
DOC00097,Emergency,Trauma,32,5,Yes,10.0,Emergency Cases,4400,44
DOC00098,Emergency,Critical Care,3,5,Yes,5.7,Emergency Cases,3694,50
DOC00099,Emergency,Trauma,22,5,Yes,10.0,Emergency Cases,939,79
DOC00100,Emergency,Trauma,37,5,Yes,10.0,Emergency Cases,956,41
DOC00101,Emergency,Toxicology,3,5,Yes,6.9,Emergency Cases,1813,44
DOC00102,Emergency,Critical Care,6,5,Yes,7.3,Emergency Cases,3564,40
DOC00103,Emergency,Trauma,24,5,Yes,10.0,Emergency Cases,1079,59
DOC00104,Emergency,Pediatric EM,13,5,Yes,8.9,Emergency Cases,2977,69
DOC00105,Emergency,Critical Care,5,5,Yes,6.8,Emergency Cases,4586,67
DOC00106,Emergency,Trauma,19,5,Yes,10.0,Emergency Cases,1538,63
DOC00107,Emergency,Toxicology,15,5,Yes,9.2,Emergency Cases,2718,61
DOC00108,Emergency,Critical Care,23,5,Yes,10.0,Emergency Cases,606,54
DOC00109,Emergency,Pediatric EM,5,5,Yes,6.2,Emergency Cases,3013,57
DOC00110,Emergency,Toxicology,1,5,No,6.0,Emergency Cases,2582,67
DOC00111,Emergency,Trauma,2,5,No,5.8,Emergency Cases,4476,60
DOC00112,Emergency,Critical Care,5,5,Yes,7.5,Emergency Cases,3178,48
DOC00113,Emergency,Toxicology,2,5,No,6.3,Emergency Cases,3605,58
DOC00114,Emergency,Trauma,3,5,Yes,6.3,Emergency Cases,2498,64
DOC00115,Emergency,Toxicology,3,5,Yes,7.0,Emergency Cases,2651,55
DOC00116,Emergency,Pediatric EM,12,5,Yes,8.7,Emergency Cases,1341,46
DOC00117,Emergency,Critical Care,7,5,Yes,6.9,Emergency Cases,1570,79
DOC00118,Emergency,Toxicology,15,5,Yes,9.4,Emergency Cases,4909,71
DOC00119,Emergency,Critical Care,4,5,Yes,5.8,Emergency Cases,1571,64
DOC00120,Emergency,Pediatric EM,21,5,Yes,10.0,Emergency Cases,1944,55
DOC00121,Emergency,Pediatric EM,16,5,Yes,10.0,Emergency Cases,4151,60
DOC00122,Emergency,Toxicology,12,5,Yes,8.2,Emergency Cases,657,45
DOC00123,Emergency,Toxicology,13,5,Yes,9.2,Emergency Cases,4535,50
DOC00124,Emergency,Trauma,8,5,Yes,7.1,Emergency Cases,1951,79
DOC00125,Emergency,Pediatric EM,20,5,Yes,10.0,Emergency Cases,2832,75
DOC00126,Emergency,Critical Care,7,5,Yes,7.2,Emergency Cases,4761,69
DOC00127,Emergency,Pediatric EM,2,5,No,6.5,Emergency Cases,1609,70
DOC00128,Emergency,Toxicology,5,5,Yes,7.3,Emergency Cases,604,56
DOC00129,Emergency,Toxicology,6,5,Yes,7.5,Emergency Cases,3222,70
DOC00130,Emergency,Pediatric EM,7,5,Yes,7.3,Emergency Cases,4726,70
DOC00131,Emergency,Pediatric EM,6,5,Yes,7.0,Emergency Cases,3507,67
DOC00132,Emergency,Trauma,2,5,No,6.2,Emergency Cases,2785,77
DOC00133,Emergency,Critical Care,4,5,Yes,7.2,Emergency Cases,1789,50
DOC00134,Emergency,Critical Care,12,5,Yes,9.4,Emergency Cases,4084,74
DOC00135,Emergency,Trauma,4,5,Yes,6.5,Emergency Cases,3398,61
DOC00136,Emergency,Toxicology,2,5,No,5.1,Emergency Cases,2307,78
DOC00137,Emergency,Toxicology,2,5,No,5.9,Emergency Cases,4977,46
DOC00138,Emergency,Pediatric EM,7,5,Yes,7.1,Emergency Cases,1190,78
DOC00139,Emergency,Pediatric EM,8,5,Yes,7.8,Emergency Cases,3852,52
DOC00140,Emergency,Toxicology,31,5,Yes,10.0,Emergency Cases,2736,44
DOC00141,Emergency,Critical Care,7,5,Yes,7.7,Emergency Cases,2393,77
DOC00142,Emergency,Critical Care,9,5,Yes,8.7,Emergency Cases,3585,58
DOC00143,Emergency,Trauma,2,5,No,5.3,Emergency Cases,1197,42
DOC00144,Emergency,Trauma,11,5,Yes,8.2,Emergency Cases,613,51
DOC00145,Emergency,Trauma,2,5,No,6.5,Emergency Cases,4288,69
DOC00146,Emergency,Critical Care,8,5,Yes,6.7,Emergency Cases,4868,59
DOC00147,Emergency,Critical Care,9,5,Yes,7.0,Emergency Cases,4588,48
DOC00148,Emergency,Toxicology,20,5,Yes,10.0,Emergency Cases,1302,63
DOC00149,Emergency,Critical Care,32,5,Yes,10.0,Emergency Cases,516,62
DOC00150,Emergency,Critical Care,6,5,Yes,6.2,Emergency Cases,4804,43
DOC00151,Emergency,Trauma,1,5,No,6.6,Emergency Cases,4643,47
DOC00152,Emergency,Trauma,13,5,Yes,9.4,Emergency Cases,1830,77
DOC00153,Emergency,Critical Care,23,5,Yes,10.0,Emergency Cases,1423,51
DOC00154,Emergency,Trauma,4,5,No,5.9,Emergency Cases,1877,49
DOC00155,Emergency,Critical Care,2,5,No,6.0,Emergency Cases,4734,72
DOC00156,Emergency,Trauma,35,5,Yes,10.0,Emergency Cases,4038,52
DOC00157,Emergency,Toxicology,1,5,Yes,6.3,Emergency Cases,2698,50
DOC00158,Emergency,Critical Care,8,5,Yes,7.1,Emergency Cases,1730,79
DOC00159,Emergency,Pediatric EM,5,5,Yes,6.8,Emergency Cases,1067,72
DOC00160,Emergency,Toxicology,25,5,Yes,10.0,Emergency Cases,3871,66
DOC00161,Emergency,Trauma,19,5,Yes,10.0,Emergency Cases,4645,57
DOC00162,Emergency,Trauma,12,5,Yes,8.5,Emergency Cases,4039,64
DOC00163,Emergency,Toxicology,6,5,Yes,6.7,Emergency Cases,811,42
DOC00164,Emergency,Toxicology,34,5,Yes,10.0,Emergency Cases,3640,44
DOC00165,Emergency,Trauma,24,5,Yes,10.0,Emergency Cases,4494,77
DOC00166,Emergency,Critical Care,5,5,Yes,7.0,Emergency Cases,3422,73
DOC00167,Emergency,Trauma,1,5,Yes,5.7,Emergency Cases,4055,68
DOC00168,Emergency,Trauma,12,5,Yes,8.8,Emergency Cases,2034,40
DOC00169,Emergency,Trauma,9,5,Yes,7.3,Emergency Cases,3589,45
DOC00170,Emergency,Toxicology,11,5,Yes,7.4,Emergency Cases,4777,54
DOC00171,Emergency,Trauma,1,5,No,6.4,Emergency Cases,4807,75
DOC00172,Emergency,Pediatric EM,2,5,No,6.1,Emergency Cases,4433,42
DOC00173,Emergency,Pediatric EM,11,5,Yes,8.3,Emergency Cases,4811,60
DOC00174,Emergency,Trauma,21,5,Yes,10.0,Emergency Cases,633,58
DOC00175,Emergency,Toxicology,3,5,Yes,6.2,Emergency Cases,4013,69
DOC00176,Emergency,Toxicology,2,5,No,6.9,Emergency Cases,3245,77
DOC00177,Emergency,Toxicology,4,5,Yes,7.3,Emergency Cases,3083,60
DOC00178,Emergency,Trauma,4,5,Yes,7.1,Emergency Cases,2716,62
DOC00179,Emergency,Pediatric EM,5,5,Yes,6.6,Emergency Cases,3505,47
DOC00180,Emergency,Trauma,12,5,Yes,9.0,Emergency Cases,1706,51
DOC00181,Emergency,Toxicology,6,5,Yes,7.4,Emergency Cases,4211,55
DOC00182,Emergency,Pediatric EM,13,5,Yes,9.3,Emergency Cases,4825,50
DOC00183,Emergency,Critical Care,6,5,Yes,6.2,Emergency Cases,1443,54
DOC00184,Emergency,Pediatric EM,6,5,Yes,6.8,Emergency Cases,2711,78
DOC00185,Emergency,Trauma,6,5,Yes,6.7,Emergency Cases,1125,55
DOC00186,Emergency,Critical Care,1,5,No,5.0,Emergency Cases,1022,59
DOC00187,Emergency,Critical Care,5,5,Yes,7.0,Emergency Cases,1144,77
DOC00188,Emergency,Trauma,23,5,Yes,10.0,Emergency Cases,1995,75
DOC00189,Emergency,Trauma,7,5,Yes,6.8,Emergency Cases,4689,57
DOC00190,Emergency,Trauma,1,5,Yes,5.7,Emergency Cases,2282,77
DOC00191,Emergency,Critical Care,5,5,Yes,6.0,Emergency Cases,1445,78
DOC00192,Emergency,Pediatric EM,1,5,No,5.0,Emergency Cases,3716,60
DOC00193,Emergency,Critical Care,5,5,Yes,7.3,Emergency Cases,2931,54
DOC00194,Emergency,Pediatric EM,17,5,Yes,10.0,Emergency Cases,2218,52
DOC00195,Emergency,Trauma,16,5,Yes,9.4,Emergency Cases,3004,58
DOC00196,Emergency,Trauma,12,5,Yes,7.5,Emergency Cases,643,52
DOC00197,Emergency,Toxicology,1,5,Yes,5.7,Emergency Cases,1089,78
DOC00198,Emergency,Critical Care,4,5,Yes,6.4,Emergency Cases,1451,62
DOC00199,Emergency,Toxicology,2,5,No,6.4,Emergency Cases,4555,68
DOC00200,Emergency,Trauma,5,5,Yes,7.2,Emergency Cases,3640,57
DOC00201,Emergency,Pediatric EM,33,5,Yes,10.0,Emergency Cases,1705,43
DOC00202,Emergency,Pediatric EM,13,5,Yes,9.6,Emergency Cases,4305,57
DOC00203,Emergency,Pediatric EM,12,5,Yes,8.4,Emergency Cases,4972,68
DOC00204,Emergency,Toxicology,3,5,Yes,6.6,Emergency Cases,4974,56
DOC00205,Emergency,Toxicology,15,5,Yes,9.9,Emergency Cases,1361,46
DOC00206,Emergency,Critical Care,11,5,Yes,8.8,Emergency Cases,664,69
DOC00207,Emergency,Pediatric EM,1,5,No,5.6,Emergency Cases,3255,56
DOC00208,Emergency,Critical Care,23,5,Yes,10.0,Emergency Cases,1064,59
DOC00209,Emergency,Critical Care,11,5,Yes,7.6,Emergency Cases,1291,49
DOC00210,Emergency,Critical Care,9,5,Yes,6.9,Emergency Cases,3889,42
DOC00211,Emergency,Critical Care,4,5,Yes,7.4,Emergency Cases,4265,78
DOC00212,Emergency,Pediatric EM,23,5,Yes,10.0,Emergency Cases,2285,78
DOC00213,Emergency,Trauma,11,5,Yes,7.9,Emergency Cases,4161,67
DOC00214,Emergency,Toxicology,1,5,No,5.1,Emergency Cases,4164,57
DOC00215,Emergency,Pediatric EM,9,5,Yes,7.6,Emergency Cases,2985,70
DOC00216,Emergency,Pediatric EM,14,5,Yes,9.3,Emergency Cases,4053,60
DOC00217,Emergency,Critical Care,19,5,Yes,10.0,Emergency Cases,2395,42
DOC00218,Emergency,Pediatric EM,6,5,Yes,6.3,Emergency Cases,1773,42
DOC00219,Emergency,Pediatric EM,9,5,Yes,7.5,Emergency Cases,2063,60
DOC00220,Emergency,Trauma,16,5,Yes,8.7,Emergency Cases,3974,49
DOC00221,Emergency,Toxicology,6,5,Yes,6.6,Emergency Cases,4174,61
DOC00222,Emergency,Trauma,22,5,Yes,10.0,Emergency Cases,4286,77
DOC00223,Emergency,Critical Care,14,5,Yes,8.6,Emergency Cases,2235,73
DOC00224,Emergency,Critical Care,6,5,Yes,8.0,Emergency Cases,2775,79
DOC00225,Emergency,Toxicology,7,5,Yes,6.5,Emergency Cases,4872,61
DOC00226,Emergency,Pediatric EM,2,5,No,5.4,Emergency Cases,4958,76
DOC00227,Emergency,Pediatric EM,23,5,Yes,10.0,Emergency Cases,1467,58
DOC00228,Emergency,Critical Care,10,5,Yes,8.0,Emergency Cases,4481,71
DOC00229,Emergency,Critical Care,34,5,Yes,10.0,Emergency Cases,3713,60
DOC00230,Emergency,Critical Care,2,5,Yes,5.4,Emergency Cases,4761,50
DOC00231,Emergency,Toxicology,23,5,Yes,10.0,Emergency Cases,4922,52
DOC00232,Emergency,Trauma,20,5,Yes,10.0,Emergency Cases,4752,68
DOC00233,Emergency,Pediatric EM,1,5,No,6.0,Emergency Cases,1671,52
DOC00234,Emergency,Toxicology,5,5,Yes,6.1,Emergency Cases,3396,62
DOC00235,Emergency,Critical Care,6,5,Yes,8.0,Emergency Cases,3361,70
DOC00236,Emergency,Trauma,7,5,Yes,7.1,Emergency Cases,1824,76
DOC00237,Emergency,Toxicology,6,5,Yes,6.5,Emergency Cases,1640,60
DOC00238,Emergency,Critical Care,6,5,Yes,6.1,Emergency Cases,4096,60
DOC00239,Emergency,Trauma,12,5,Yes,7.5,Emergency Cases,1323,63
DOC00240,Emergency,Pediatric EM,2,5,No,5.7,Emergency Cases,1853,55
DOC00241,Emergency,Pediatric EM,6,5,Yes,6.8,Emergency Cases,4357,63
DOC00242,Emergency,Critical Care,6,5,Yes,6.5,Emergency Cases,1843,43
DOC00243,Emergency,Toxicology,5,5,Yes,7.7,Emergency Cases,3974,48
DOC00244,Emergency,Critical Care,8,5,Yes,7.3,Emergency Cases,4230,49
DOC00245,Emergency,Critical Care,19,5,Yes,10.0,Emergency Cases,1642,53
DOC00246,Emergency,Critical Care,13,5,Yes,9.7,Emergency Cases,2821,60
DOC00247,Emergency,Trauma,29,5,Yes,10.0,Emergency Cases,4121,71
DOC00248,Emergency,Pediatric EM,3,5,Yes,6.2,Emergency Cases,2486,70
DOC00249,Emergency,Trauma,1,5,Yes,5.0,Emergency Cases,2851,72
DOC00250,Emergency,Critical Care,1,5,No,6.0,Emergency Cases,2549,42
DOC00251,Emergency,Toxicology,9,5,Yes,8.0,Emergency Cases,573,72
DOC00252,Emergency,Toxicology,12,5,Yes,8.0,Emergency Cases,2525,46
DOC00253,Emergency,Pediatric EM,2,5,No,5.9,Emergency Cases,817,47
DOC00254,Emergency,Trauma,3,5,No,5.6,Emergency Cases,2215,77
DOC00255,Emergency,Critical Care,23,5,Yes,10.0,Emergency Cases,3004,57
DOC00256,Emergency,Trauma,4,5,No,6.3,Emergency Cases,4886,61
DOC00257,Emergency,Trauma,1,5,Yes,6.6,Emergency Cases,1253,58
DOC00258,Emergency,Pediatric EM,13,5,Yes,9.5,Emergency Cases,2209,60
DOC00259,Emergency,Critical Care,13,5,Yes,8.3,Emergency Cases,1026,43
DOC00260,Emergency,Toxicology,4,5,No,6.5,Emergency Cases,4064,62
DOC00261,Emergency,Critical Care,4,5,No,6.0,Emergency Cases,2380,56
DOC00262,Emergency,Trauma,13,5,Yes,9.2,Emergency Cases,3938,64
DOC00263,Emergency,Critical Care,1,5,No,5.1,Emergency Cases,1029,74
DOC00264,Emergency,Critical Care,10,5,Yes,8.1,Emergency Cases,1928,73
DOC00265,Emergency,Toxicology,35,5,Yes,10.0,Emergency Cases,3992,79
DOC00266,Emergency,Trauma,5,5,Yes,6.7,Emergency Cases,1971,73
DOC00267,Emergency,Pediatric EM,5,5,Yes,7.3,Emergency Cases,3921,79
DOC00268,Emergency,Critical Care,3,5,No,7.1,Emergency Cases,971,49
DOC00269,Emergency,Toxicology,7,5,Yes,7.5,Emergency Cases,2618,61
DOC00270,Emergency,Pediatric EM,14,5,Yes,8.5,Emergency Cases,2784,47
DOC00271,Emergency,Critical Care,14,5,Yes,8.4,Emergency Cases,3316,67
DOC00272,Emergency,Trauma,24,5,Yes,10.0,Emergency Cases,4371,50
DOC00273,Emergency,Critical Care,11,5,Yes,7.5,Emergency Cases,3659,40
DOC00274,Emergency,Pediatric EM,3,5,Yes,5.3,Emergency Cases,3837,68
DOC00275,Emergency,Trauma,5,5,Yes,6.9,Emergency Cases,947,75
DOC00276,Emergency,Pediatric EM,14,5,Yes,8.8,Emergency Cases,2472,77
DOC00277,Emergency,Critical Care,17,5,Yes,10.0,Emergency Cases,4776,54
DOC00278,Emergency,Critical Care,6,5,Yes,7.4,Emergency Cases,2379,41
DOC00279,Emergency,Pediatric EM,8,5,Yes,8.5,Emergency Cases,4195,52
DOC00280,Emergency,Pediatric EM,9,5,Yes,7.6,Emergency Cases,1286,50
DOC00281,Emergency,Toxicology,12,5,Yes,9.0,Emergency Cases,1385,40
DOC00282,Emergency,Pediatric EM,13,5,Yes,8.5,Emergency Cases,1763,70
DOC00283,Emergency,Pediatric EM,6,5,Yes,7.7,Emergency Cases,3498,58
DOC00284,Emergency,Critical Care,26,5,Yes,10.0,Emergency Cases,3716,58
DOC00285,Emergency,Critical Care,8,5,Yes,7.8,Emergency Cases,1706,48
DOC00286,Emergency,Toxicology,4,5,Yes,7.4,Emergency Cases,2515,69
DOC00287,Emergency,Trauma,20,5,Yes,10.0,Emergency Cases,4593,51
DOC00288,Emergency,Toxicology,10,5,Yes,7.6,Emergency Cases,1160,61
DOC00289,Emergency,Pediatric EM,1,5,Yes,5.2,Emergency Cases,569,48
DOC00290,Emergency,Pediatric EM,3,5,No,6.4,Emergency Cases,566,51
DOC00291,Emergency,Toxicology,7,5,Yes,7.9,Emergency Cases,2990,62
DOC00292,Emergency,Pediatric EM,2,5,No,5.4,Emergency Cases,672,55
DOC00293,Emergency,Pediatric EM,23,5,Yes,10.0,Emergency Cases,4991,41
DOC00294,Emergency,Toxicology,14,5,Yes,8.4,Emergency Cases,3759,47
DOC00295,Emergency,Pediatric EM,20,5,Yes,10.0,Emergency Cases,2827,42
DOC00296,Emergency,Trauma,11,5,Yes,8.3,Emergency Cases,951,59
DOC00297,Emergency,Trauma,6,5,Yes,6.7,Emergency Cases,771,73
DOC00298,Emergency,Pediatric EM,2,5,No,6.6,Emergency Cases,1132,58
DOC00299,Emergency,Trauma,11,5,Yes,8.7,Emergency Cases,1745,57
DOC00300,Emergency,Pediatric EM,13,5,Yes,9.0,Emergency Cases,1594,54
DOC00301,Emergency,Critical Care,7,5,Yes,6.7,Emergency Cases,4357,60
DOC00302,Emergency,Trauma,12,5,Yes,9.1,Emergency Cases,1856,69
DOC00303,Emergency,Critical Care,9,5,Yes,7.5,Emergency Cases,3823,76
DOC00304,Emergency,Pediatric EM,16,5,Yes,9.7,Emergency Cases,1720,78
DOC00305,Emergency,Trauma,3,5,Yes,6.2,Emergency Cases,2898,49
DOC00306,Emergency,Toxicology,14,5,Yes,8.5,Emergency Cases,4808,42
DOC00307,Emergency,Pediatric EM,23,5,Yes,10.0,Emergency Cases,2464,78
DOC00308,Emergency,Trauma,2,5,No,5.4,Emergency Cases,3606,65
DOC00309,Emergency,Trauma,21,5,Yes,10.0,Emergency Cases,3720,77
DOC00310,Emergency,Trauma,2,5,No,5.5,Emergency Cases,4814,60
DOC00311,Emergency,Critical Care,11,5,Yes,9.2,Emergency Cases,4663,41
DOC00312,Emergency,Trauma,13,5,Yes,8.7,Emergency Cases,4892,59
DOC00313,Emergency,Pediatric EM,17,5,Yes,8.9,Emergency Cases,4796,72
DOC00314,Emergency,Toxicology,14,5,Yes,8.1,Emergency Cases,2991,65
DOC00315,Emergency,Toxicology,24,5,Yes,10.0,Emergency Cases,1051,43
DOC00316,Emergency,Pediatric EM,13,5,Yes,8.8,Emergency Cases,4026,49
DOC00317,Emergency,Toxicology,8,5,Yes,6.8,Emergency Cases,4479,72
DOC00318,Emergency,Toxicology,7,5,Yes,7.5,Emergency Cases,1950,75
DOC00319,Emergency,Trauma,5,5,Yes,6.1,Emergency Cases,2982,75
DOC00320,Emergency,Toxicology,24,5,Yes,10.0,Emergency Cases,3320,74
DOC00321,Emergency,Trauma,5,5,Yes,6.4,Emergency Cases,3567,71
DOC00322,Emergency,Critical Care,13,5,Yes,9.2,Emergency Cases,2507,46
DOC00323,Emergency,Critical Care,18,5,Yes,9.4,Emergency Cases,2718,45
DOC00324,Emergency,Trauma,5,5,Yes,6.9,Emergency Cases,2811,45
DOC00325,Emergency,Critical Care,3,5,No,6.7,Emergency Cases,4440,59
DOC00326,Emergency,Critical Care,18,5,Yes,10.0,Emergency Cases,1133,54
DOC00327,Emergency,Toxicology,6,5,Yes,7.8,Emergency Cases,3730,42
DOC00328,Emergency,Critical Care,15,5,Yes,9.8,Emergency Cases,1058,46
DOC00329,Emergency,Toxicology,26,5,Yes,10.0,Emergency Cases,2700,56
DOC00330,Emergency,Trauma,3,5,No,6.5,Emergency Cases,2994,44
