Condition_ID,Condition_Name,Condition_Category,Base_Severity_Score,Default_Department,Emergency_Flag,Contagious_Flag,Max_Recommended_Wait_Time_Minutes,Mortality_Risk_Level,Progression_Speed
COND00089,Deep Vein Thrombosis Mild,Cardiac,5,Cardiology,No,No,109,Low,Moderate
COND00090,Deep Vein Thrombosis Stable,Cardiac,4,Emergency,No,No,32,Low,Slow
COND00091,Deep Vein Thrombosis Unstable,Cardiac,9,Emergency,Yes,No,12,High,Fast
COND00092,Aortic Dissection Acute,Cardiac,8,Emergency,Yes,No,18,High,Moderate
COND00093,Aortic Dissection Chronic,Cardiac,4,Cardiology,No,No,67,Low,Slow
COND00094,Aortic Dissection Severe,Cardiac,8,Emergency,Yes,No,8,Moderate,Moderate
COND00095,Aortic Dissection Moderate,Cardiac,5,Cardiology,No,No,58,Low,Slow
COND00096,Aortic Dissection Mild,Cardiac,2,Cardiology,No,No,69,Low,Slow
COND00097,Aortic Dissection Stable,Cardiac,6,Cardiology,No,No,47,Low,Slow
COND00098,Aortic Dissection Unstable,Cardiac,9,Emergency,Yes,No,4,Moderate,Fast
COND00099,Peripheral Artery Disease Acute,Cardiac,9,Emergency,Yes,No,2,Moderate,Fast
COND00100,Peripheral Artery Disease Chronic,Cardiac,2,Emergency,No,No,143,Low,Moderate
COND00101,Peripheral Artery Disease Severe,Cardiac,9,Emergency,Yes,No,3,High,Fast
COND00102,Peripheral Artery Disease Moderate,Cardiac,4,Emergency,No,No,57,Moderate,Slow
COND00103,Peripheral Artery Disease Mild,Cardiac,4,Cardiology,No,No,75,Low,Moderate
COND00104,Peripheral Artery Disease Stable,Cardiac,4,Emergency,No,No,82,Moderate,Slow
COND00105,Peripheral Artery Disease Unstable,Cardiac,7,Cardiology,No,No,13,Moderate,Moderate
COND00106,Ventricular Tachycardia Acute,Cardiac,9,Emergency,Yes,No,10,High,Fast
COND00107,Ventricular Tachycardia Chronic,Cardiac,5,Emergency,No,No,117,Low,Moderate
COND00108,Ventricular Tachycardia Severe,Cardiac,9,Emergency,Yes,No,7,High,Fast
COND00109,Ventricular Tachycardia Moderate,Cardiac,5,Cardiology,No,No,58,Moderate,Slow
COND00110,Ventricular Tachycardia Mild,Cardiac,5,Emergency,No,No,145,Moderate,Slow
COND00111,Ventricular Tachycardia Stable,Cardiac,4,Cardiology,No,No,89,Moderate,Slow
COND00112,Ventricular Tachycardia Unstable,Cardiac,8,Emergency,Yes,No,9,Moderate,Slow
COND00113,Pneumonia Acute,Respiratory,9,Emergency,Yes,No,12,High,Fast
COND00114,Pneumonia Chronic,Respiratory,5,Pulmonology,No,No,79,Low,Moderate
COND00115,Pneumonia Severe,Respiratory,7,Pulmonology,No,No,16,Moderate,Moderate
COND00116,Pneumonia Moderate,Respiratory,4,Pulmonology,No,No,61,Moderate,Moderate
COND00117,Pneumonia Mild,Respiratory,5,Emergency,No,No,134,Low,Moderate
COND00118,Pneumonia Active,Respiratory,4,Pulmonology,No,No,77,Moderate,Moderate
COND00119,Pneumonia Latent,Respiratory,4,Pulmonology,No,No,176,Low,Moderate
COND00120,COPD Acute,Respiratory,9,Emergency,Yes,No,11,High,Slow
COND00121,COPD Chronic,Respiratory,5,Pulmonology,No,No,135,Moderate,Moderate
COND00122,COPD Severe,Respiratory,8,Emergency,Yes,No,7,High,Moderate
COND00123,COPD Moderate,Respiratory,5,Emergency,No,No,65,Moderate,Slow
COND00124,COPD Mild,Respiratory,2,Emergency,No,No,176,Low,Slow
COND00125,COPD Active,Respiratory,2,Emergency,No,No,94,Low,Slow
COND00126,COPD Latent,Respiratory,5,Pulmonology,No,No,84,Low,Slow
COND00127,Asthma Acute,Respiratory,8,Emergency,Yes,No,4,High,Fast
COND00128,Asthma Chronic,Respiratory,2,Emergency,No,No,77,Low,Moderate
COND00129,Asthma Severe,Respiratory,7,Emergency,No,No,16,High,Moderate
COND00130,Asthma Moderate,Respiratory,6,Emergency,Yes,No,84,Moderate,Slow
COND00131,Asthma Mild,Respiratory,4,Pulmonology,No,No,62,Low,Slow
COND00132,Asthma Active,Respiratory,2,Pulmonology,No,No,142,Low,Slow
COND00133,Asthma Latent,Respiratory,3,Pulmonology,No,No,104,Low,Moderate
COND00134,Bronchitis Acute,Respiratory,7,Pulmonology,No,No,7,High,Moderate
COND00135,Bronchitis Chronic,Respiratory,3,Emergency,No,No,109,Low,Slow
COND00136,Bronchitis Severe,Respiratory,7,Pulmonology,Yes,No,16,Moderate,Fast
COND00137,Bronchitis Moderate,Respiratory,6,Pulmonology,No,No,40,Low,Moderate
COND00138,Bronchitis Mild,Respiratory,5,Pulmonology,No,No,109,Moderate,Moderate
COND00139,Bronchitis Active,Respiratory,4,Pulmonology,No,No,157,Low,Slow
COND00140,Bronchitis Latent,Respiratory,5,Pulmonology,No,No,89,Moderate,Slow
COND00141,Tuberculosis Acute,Respiratory,7,Pulmonology,No,No,16,High,Fast
COND00142,Tuberculosis Chronic,Respiratory,5,Pulmonology,No,No,65,Low,Moderate
COND00143,Tuberculosis Severe,Respiratory,9,Emergency,Yes,No,10,High,Fast
COND00144,Tuberculosis Moderate,Respiratory,4,Pulmonology,No,No,40,Low,Slow
COND00145,Tuberculosis Mild,Respiratory,5,Emergency,No,No,84,Low,Slow
COND00146,Tuberculosis Active,Respiratory,2,Pulmonology,No,No,120,Moderate,Fast
COND00147,Tuberculosis Latent,Respiratory,2,Pulmonology,No,No,101,Low,Fast
COND00148,Pulmonary Fibrosis Acute,Respiratory,7,Pulmonology,Yes,No,13,High,Moderate
COND00149,Pulmonary Fibrosis Chronic,Respiratory,2,Emergency,No,No,85,Low,Slow
COND00150,Pulmonary Fibrosis Severe,Respiratory,9,Emergency,Yes,No,10,High,Slow
COND00151,Pulmonary Fibrosis Moderate,Respiratory,4,Emergency,Yes,No,37,Low,Moderate
COND00152,Pulmonary Fibrosis Mild,Respiratory,4,Pulmonology,No,No,115,Low,Slow
COND00153,Pulmonary Fibrosis Active,Respiratory,4,Emergency,No,No,61,Low,Fast
COND00154,Pulmonary Fibrosis Latent,Respiratory,5,Emergency,No,No,62,Low,Slow
COND00155,Pleural Effusion Acute,Respiratory,9,Emergency,Yes,No,17,High,Moderate
COND00156,Pleural Effusion Chronic,Respiratory,4,Pulmonology,No,No,123,Low,Moderate
COND00157,Pleural Effusion Severe,Respiratory,8,Emergency,Yes,No,16,High,Fast
COND00158,Pleural Effusion Moderate,Respiratory,5,Pulmonology,No,No,42,Moderate,Slow
COND00159,Pleural Effusion Mild,Respiratory,4,Pulmonology,No,No,77,Low,Slow
COND00160,Pleural Effusion Active,Respiratory,3,Pulmonology,No,No,99,Low,Moderate
COND00161,Pleural Effusion Latent,Respiratory,2,Pulmonology,No,No,111,Low,Slow
COND00162,Pneumothorax Acute,Respiratory,10,Emergency,Yes,No,5,High,Moderate
COND00163,Pneumothorax Chronic,Respiratory,2,Pulmonology,No,No,80,Low,Moderate
COND00164,Pneumothorax Severe,Respiratory,10,Emergency,Yes,No,8,Moderate,Fast
COND00165,Pneumothorax Moderate,Respiratory,6,Pulmonology,Yes,No,53,Low,Moderate
COND00166,Pneumothorax Mild,Respiratory,5,Emergency,No,No,138,Moderate,Moderate
COND00167,Pneumothorax Active,Respiratory,5,Emergency,No,No,121,Low,Slow
COND00168,Pneumothorax Latent,Respiratory,5,Emergency,No,No,104,Low,Moderate
COND00169,Pleurisy Acute,Respiratory,8,Emergency,Yes,No,19,Moderate,Moderate
COND00170,Pleurisy Chronic,Respiratory,2,Pulmonology,No,No,60,Low,Moderate
COND00171,Pleurisy Severe,Respiratory,7,Pulmonology,Yes,No,12,Moderate,Fast
COND00172,Pleurisy Moderate,Respiratory,5,Emergency,No,No,39,Low,Moderate
COND00173,Pleurisy Mild,Respiratory,3,Pulmonology,No,No,122,Low,Slow
COND00174,Pleurisy Active,Respiratory,4,Pulmonology,No,No,97,Low,Moderate
COND00175,Pleurisy Latent,Respiratory,2,Emergency,No,No,119,Moderate,Moderate
COND00176,Respiratory Distress Syndrome Acute,Respiratory,10,Emergency,Yes,No,1,Moderate,Fast
COND00177,Respiratory Distress Syndrome Chronic,Respiratory,4,Pulmonology,No,No,123,Moderate,Slow
COND00178,Respiratory Distress Syndrome Severe,Respiratory,10,Emergency,Yes,No,4,Moderate,Fast
COND00179,Respiratory Distress Syndrome Moderate,Respiratory,5,Pulmonology,No,No,48,Moderate,Slow
COND00180,Respiratory Distress Syndrome Mild,Respiratory,5,Pulmonology,No,No,101,Low,Slow
COND00181,Respiratory Distress Syndrome Active,Respiratory,4,Pulmonology,No,No,91,Low,Moderate
COND00182,Respiratory Distress Syndrome Latent,Respiratory,4,Pulmonology,No,No,156,Low,Slow
COND00183,COVID-19 Acute,Respiratory,9,Emergency,Yes,No,7,High,Fast
COND00184,COVID-19 Chronic,Respiratory,4,Pulmonology,No,No,65,Low,Slow
COND00185,COVID-19 Severe,Respiratory,8,Emergency,Yes,No,14,High,Slow
COND00186,COVID-19 Moderate,Respiratory,4,Emergency,No,No,65,Low,Slow
COND00187,COVID-19 Mild,Respiratory,2,Pulmonology,No,No,114,Low,Moderate
COND00188,COVID-19 Active,Respiratory,3,Pulmonology,No,No,133,Low,Slow
COND00189,COVID-19 Latent,Respiratory,4,Pulmonology,No,No,168,Low,Moderate
COND00190,Influenza Acute,Respiratory,7,Emergency,Yes,No,3,High,Slow
COND00191,Influenza Chronic,Respiratory,4,Pulmonology,No,No,95,Low,Moderate
COND00192,Influenza Severe,Respiratory,7,Pulmonology,No,No,7,Moderate,Moderate
COND00193,Influenza Moderate,Respiratory,6,Pulmonology,No,No,55,Low,Slow
COND00194,Influenza Mild,Respiratory,2,Emergency,No,No,163,Low,Slow
COND00195,Influenza Active,Respiratory,5,Emergency,No,No,64,Moderate,Slow
COND00196,Influenza Latent,Respiratory,3,Pulmonology,No,No,90,Low,Slow
COND00197,Sinusitis Acute,Respiratory,7,Pulmonology,Yes,No,10,Moderate,Fast
COND00198,Sinusitis Chronic,Respiratory,2,Pulmonology,No,No,95,Low,Slow
COND00199,Sinusitis Severe,Respiratory,9,Emergency,Yes,No,18,High,Moderate
COND00200,Sinusitis Moderate,Respiratory,4,Emergency,No,No,39,Low,Fast
COND00201,Sinusitis Mild,Respiratory,2,Pulmonology,No,No,175,Low,Slow
COND00202,Sinusitis Active,Respiratory,3,Emergency,No,No,150,Low,Slow
COND00203,Sinusitis Latent,Respiratory,4,Pulmonology,No,No,110,Low,Slow
COND00204,Laryngitis Acute,Respiratory,10,Emergency,Yes,No,0,High,Moderate
COND00205,Laryngitis Chronic,Respiratory,4,Pulmonology,No,No,85,Low,Slow
COND00206,Laryngitis Severe,Respiratory,9,Emergency,Yes,No,8,Moderate,Fast
COND00207,Laryngitis Moderate,Respiratory,5,Pulmonology,No,No,69,Low,Slow
COND00208,Laryngitis Mild,Respiratory,2,Pulmonology,No,No,110,Low,Slow
COND00209,Laryngitis Active,Respiratory,5,Pulmonology,No,No,108,Low,Slow
COND00210,Laryngitis Latent,Respiratory,5,Emergency,No,No,60,Low,Slow
COND00211,Pharyngitis Acute,Respiratory,8,Emergency,Yes,No,16,High,Moderate
COND00212,Pharyngitis Chronic,Respiratory,3,Pulmonology,No,No,63,Low,Slow
COND00213,Pharyngitis Severe,Respiratory,9,Emergency,Yes,No,9,Moderate,Fast
COND00214,Pharyngitis Moderate,Respiratory,5,Pulmonology,No,No,84,Low,Slow
COND00215,Pharyngitis Mild,Respiratory,2,Pulmonology,No,No,116,Low,Moderate
COND00216,Pharyngitis Active,Respiratory,4,Pulmonology,No,No,131,Low,Slow
COND00217,Pharyngitis Latent,Respiratory,4,Pulmonology,No,No,151,Moderate,Fast
COND00218,Emphysema Acute,Respiratory,10,Emergency,Yes,No,13,Moderate,Slow
COND00219,Emphysema Chronic,Respiratory,5,Pulmonology,No,No,113,Moderate,Moderate
COND00220,Emphysema Severe,Respiratory,10,Emergency,Yes,No,9,High,Fast
COND00221,Emphysema Moderate,Respiratory,6,Pulmonology,No,No,48,Moderate,Slow
COND00222,Emphysema Mild,Respiratory,3,Pulmonology,No,No,128,Moderate,Moderate
COND00223,Emphysema Active,Respiratory,3,Pulmonology,No,No,178,Low,Slow
COND00224,Emphysema Latent,Respiratory,3,Pulmonology,No,No,68,Low,Moderate
COND00225,Lung Cancer Acute,Respiratory,10,Emergency,Yes,No,11,Moderate,Fast
COND00226,Lung Cancer Chronic,Respiratory,3,Emergency,No,No,118,Low,Slow
COND00227,Lung Cancer Severe,Respiratory,7,Pulmonology,Yes,No,8,High,Moderate
COND00228,Lung Cancer Moderate,Respiratory,6,Emergency,No,No,75,Low,Slow
COND00229,Lung Cancer Mild,Respiratory,2,Pulmonology,No,No,96,Low,Slow
COND00230,Lung Cancer Active,Respiratory,2,Pulmonology,No,No,100,Moderate,Slow
COND00231,Lung Cancer Latent,Respiratory,2,Pulmonology,No,No,135,Low,Fast
COND00232,Sleep Apnea Acute,Respiratory,7,Pulmonology,Yes,No,7,High,Moderate
COND00233,Sleep Apnea Chronic,Respiratory,2,Emergency,No,No,104,Low,Slow
COND00234,Sleep Apnea Severe,Respiratory,8,Emergency,Yes,No,1,High,Fast
COND00235,Sleep Apnea Moderate,Respiratory,6,Pulmonology,Yes,No,80,Moderate,Moderate
COND00236,Sleep Apnea Mild,Respiratory,5,Emergency,No,No,95,Low,Moderate
COND00237,Sleep Apnea Active,Respiratory,4,Pulmonology,No,No,114,Moderate,Slow
COND00238,Sleep Apnea Latent,Respiratory,2,Pulmonology,No,No,95,Low,Moderate
COND00239,Stroke Acute,Neurological,10,Emergency,Yes,No,12,High,Fast
COND00240,Stroke Chronic,Neurological,2,Neurology,No,No,176,Low,Moderate
COND00241,Stroke Severe,Neurological,7,Neurology,Yes,No,9,Moderate,Fast
COND00242,Stroke Moderate,Neurological,5,Neurology,No,No,59,Low,Moderate
COND00243,Stroke Mild,Neurological,2,Neurology,No,No,108,Low,Slow
COND00244,Stroke Progressive,Neurological,4,Neurology,No,No,71,Low,Slow
COND00245,TIA Acute,Neurological,10,Emergency,Yes,No,16,Moderate,Moderate
COND00246,TIA Chronic,Neurological,3,Neurology,No,No,131,Low,Slow
COND00247,TIA Severe,Neurological,9,Emergency,Yes,No,8,Moderate,Slow
COND00248,TIA Moderate,Neurological,6,Neurology,Yes,No,46,Low,Slow
COND00249,TIA Mild,Neurological,3,Emergency,No,No,138,Low,Moderate
COND00250,TIA Progressive,Neurological,5,Emergency,No,No,118,Low,Slow
COND00251,Seizure Acute,Neurological,8,Emergency,Yes,No,2,High,Moderate
COND00252,Seizure Chronic,Neurological,3,Neurology,No,No,73,Low,Moderate
COND00253,Seizure Severe,Neurological,10,Emergency,Yes,No,2,High,Moderate
COND00254,Seizure Moderate,Neurological,7,Neurology,No,No,68,Low,Moderate
COND00255,Seizure Mild,Neurological,2,Emergency,No,No,72,Low,Slow
COND00256,Seizure Progressive,Neurological,3,Neurology,No,No,125,Moderate,Slow
COND00257,Migraine Acute,Neurological,8,Emergency,Yes,No,12,High,Moderate
COND00258,Migraine Chronic,Neurological,5,Neurology,No,No,98,Moderate,Fast
COND00259,Migraine Severe,Neurological,7,Emergency,Yes,No,15,High,Slow
COND00260,Migraine Moderate,Neurological,5,Emergency,Yes,No,49,Moderate,Moderate
COND00261,Migraine Mild,Neurological,4,Neurology,No,No,179,Low,Moderate
COND00262,Migraine Progressive,Neurological,3,Neurology,No,No,107,Low,Slow
COND00263,Epilepsy Acute,Neurological,7,Neurology,Yes,No,3,High,Slow
COND00264,Epilepsy Chronic,Neurological,2,Emergency,No,No,129,Low,Slow
COND00265,Epilepsy Severe,Neurological,10,Emergency,Yes,No,12,High,Slow
COND00266,Epilepsy Moderate,Neurological,6,Emergency,No,No,49,Moderate,Moderate
COND00267,Epilepsy Mild,Neurological,4,Neurology,No,No,133,Low,Moderate
COND00268,Epilepsy Progressive,Neurological,2,Emergency,No,No,62,Low,Slow
COND00269,Meningitis Acute,Neurological,8,Emergency,Yes,No,16,Moderate,Moderate
COND00270,Meningitis Chronic,Neurological,5,Neurology,No,No,120,Moderate,Slow
COND00271,Meningitis Severe,Neurological,8,Emergency,Yes,No,2,Moderate,Slow
COND00272,Meningitis Moderate,Neurological,5,Neurology,No,No,54,Low,Slow
COND00273,Meningitis Mild,Neurological,3,Neurology,No,No,115,Low,Moderate
COND00274,Meningitis Progressive,Neurological,2,Emergency,No,No,157,Low,Slow
COND00275,Encephalitis Acute,Neurological,10,Emergency,Yes,No,10,Moderate,Fast
COND00276,Encephalitis Chronic,Neurological,5,Neurology,No,No,97,Low,Slow
COND00277,Encephalitis Severe,Neurological,8,Emergency,Yes,No,4,High,Fast
COND00278,Encephalitis Moderate,Neurological,4,Neurology,No,No,79,Low,Slow
COND00279,Encephalitis Mild,Neurological,2,Neurology,No,No,126,Moderate,Slow
COND00280,Encephalitis Progressive,Neurological,4,Emergency,No,No,92,Moderate,Slow
COND00281,Multiple Sclerosis Acute,Neurological,10,Emergency,Yes,No,15,High,Slow
COND00282,Multiple Sclerosis Chronic,Neurological,4,Emergency,No,No,112,Low,Slow
COND00283,Multiple Sclerosis Severe,Neurological,8,Emergency,Yes,No,4,High,Slow
COND00284,Multiple Sclerosis Moderate,Neurological,5,Neurology,No,No,71,Low,Moderate
COND00285,Multiple Sclerosis Mild,Neurological,3,Emergency,No,No,141,Moderate,Slow
COND00286,Multiple Sclerosis Progressive,Neurological,2,Neurology,No,No,125,Low,Slow
COND00287,Parkinsons Acute,Neurological,7,Emergency,Yes,No,1,High,Moderate
COND00288,Parkinsons Chronic,Neurological,4,Emergency,No,No,142,Low,Slow
COND00289,Parkinsons Severe,Neurological,10,Emergency,Yes,No,14,Moderate,Slow
COND00290,Parkinsons Moderate,Neurological,4,Neurology,No,No,65,Moderate,Moderate
COND00291,Parkinsons Mild,Neurological,2,Neurology,No,No,76,Low,Moderate
COND00292,Parkinsons Progressive,Neurological,3,Emergency,No,No,141,Low,Slow
COND00293,Alzheimers Acute,Neurological,7,Emergency,Yes,No,19,Moderate,Fast
COND00294,Alzheimers Chronic,Neurological,4,Neurology,No,No,170,Moderate,Slow
COND00295,Alzheimers Severe,Neurological,8,Emergency,Yes,No,1,High,Fast
COND00296,Alzheimers Moderate,Neurological,4,Neurology,No,No,70,Moderate,Slow
COND00297,Alzheimers Mild,Neurological,2,Neurology,No,No,91,Low,Slow
COND00298,Alzheimers Progressive,Neurological,3,Emergency,No,No,126,Low,Moderate
COND00299,Neuropathy Acute,Neurological,10,Emergency,Yes,No,14,Moderate,Moderate
COND00300,Neuropathy Chronic,Neurological,4,Neurology,No,No,78,Moderate,Slow
COND00301,Neuropathy Severe,Neurological,7,Neurology,Yes,No,1,Moderate,Fast
COND00302,Neuropathy Moderate,Neurological,4,Neurology,No,No,73,Low,Slow
COND00303,Neuropathy Mild,Neurological,3,Emergency,No,No,152,Low,Slow
COND00304,Neuropathy Progressive,Neurological,3,Emergency,No,No,130,Low,Moderate
COND00305,Brain Tumor Acute,Neurological,7,Emergency,No,No,19,Moderate,Moderate
COND00306,Brain Tumor Chronic,Neurological,3,Neurology,No,No,167,Low,Slow
COND00307,Brain Tumor Severe,Neurological,10,Emergency,Yes,No,1,High,Slow
COND00308,Brain Tumor Moderate,Neurological,6,Neurology,No,No,50,Moderate,Moderate
COND00309,Brain Tumor Mild,Neurological,3,Neurology,No,No,97,Moderate,Slow
COND00310,Brain Tumor Progressive,Neurological,2,Neurology,No,No,100,Moderate,Slow
COND00311,Concussion Acute,Neurological,10,Emergency,Yes,No,11,High,Slow
COND00312,Concussion Chronic,Neurological,5,Emergency,No,No,113,Low,Slow
