Vital_ID,Vital_Type,Age_Group,Condition_Modifier,Critical_Low_Threshold,Critical_High_Threshold,Moderate_Low_Threshold,Moderate_High_Threshold,Critical_Instability_Score,Moderate_Instability_Score
VITAL00024,Blood_Pressure_Systolic,Young_Adult,Hypertensive,90.0,180.0,100.0,160.0,4,2
VITAL00025,Blood_Pressure_Systolic,Young_Adult,Cardiac,90.0,180.0,100.0,160.0,4,2
VITAL00026,Blood_Pressure_Systolic,Young_Adult,Respiratory,90.0,180.0,100.0,160.0,4,2
VITAL00027,Blood_Pressure_Systolic,Young_Adult,Renal,90.0,180.0,100.0,160.0,4,2
VITAL00028,Blood_Pressure_Systolic,Young_Adult,Pregnant,90.0,180.0,100.0,160.0,4,2
VITAL00029,Blood_Pressure_Systolic,Adult,Normal,90.0,180.0,100.0,160.0,4,2
VITAL00030,Blood_Pressure_Systolic,Adult,Diabetic,90.0,180.0,100.0,160.0,4,2
VITAL00031,Blood_Pressure_Systolic,Adult,Hypertensive,90.0,180.0,100.0,160.0,4,2
VITAL00032,Blood_Pressure_Systolic,Adult,Cardiac,90.0,180.0,100.0,160.0,4,2
VITAL00033,Blood_Pressure_Systolic,Adult,Respiratory,90.0,180.0,100.0,160.0,4,2
VITAL00034,Blood_Pressure_Systolic,Adult,Renal,90.0,180.0,100.0,160.0,4,2
VITAL00035,Blood_Pressure_Systolic,Adult,Pregnant,90.0,180.0,100.0,160.0,4,2
VITAL00036,Blood_Pressure_Systolic,Middle_Age,Normal,90.0,180.0,100.0,160.0,4,2
VITAL00037,Blood_Pressure_Systolic,Middle_Age,Diabetic,90.0,180.0,100.0,160.0,4,2
VITAL00038,Blood_Pressure_Systolic,Middle_Age,Hypertensive,90.0,180.0,100.0,160.0,4,2
VITAL00039,Blood_Pressure_Systolic,Middle_Age,Cardiac,90.0,180.0,100.0,160.0,4,2
VITAL00040,Blood_Pressure_Systolic,Middle_Age,Respiratory,90.0,180.0,100.0,160.0,4,2
VITAL00041,Blood_Pressure_Systolic,Middle_Age,Renal,90.0,180.0,100.0,160.0,4,2
VITAL00042,Blood_Pressure_Systolic,Middle_Age,Pregnant,90.0,180.0,100.0,160.0,4,2
VITAL00043,Blood_Pressure_Systolic,Elderly,Normal,85.0,190.0,95.0,170.0,4,2
VITAL00044,Blood_Pressure_Systolic,Elderly,Diabetic,85.0,190.0,95.0,170.0,4,2
VITAL00045,Blood_Pressure_Systolic,Elderly,Hypertensive,85.0,190.0,95.0,170.0,4,2
VITAL00046,Blood_Pressure_Systolic,Elderly,Cardiac,85.0,190.0,95.0,170.0,4,2
VITAL00047,Blood_Pressure_Systolic,Elderly,Respiratory,85.0,190.0,95.0,170.0,4,2
VITAL00048,Blood_Pressure_Systolic,Elderly,Renal,85.0,190.0,95.0,170.0,4,2
VITAL00049,Blood_Pressure_Systolic,Elderly,Pregnant,85.0,190.0,95.0,170.0,4,2
VITAL00050,Blood_Pressure_Systolic,Very_Elderly,Normal,85.0,190.0,95.0,170.0,4,2
VITAL00051,Blood_Pressure_Systolic,Very_Elderly,Diabetic,85.0,190.0,95.0,170.0,4,2
VITAL00052,Blood_Pressure_Systolic,Very_Elderly,Hypertensive,85.0,190.0,95.0,170.0,4,2
VITAL00053,Blood_Pressure_Systolic,Very_Elderly,Cardiac,85.0,190.0,95.0,170.0,4,2
VITAL00054,Blood_Pressure_Systolic,Very_Elderly,Respiratory,85.0,190.0,95.0,170.0,4,2
VITAL00055,Blood_Pressure_Systolic,Very_Elderly,Renal,85.0,190.0,95.0,170.0,4,2
VITAL00056,Blood_Pressure_Systolic,Very_Elderly,Pregnant,85.0,190.0,95.0,170.0,4,2
VITAL00057,Blood_Pressure_Diastolic,Infant,Normal,55.0,125.0,65.0,105.0,3,2
VITAL00058,Blood_Pressure_Diastolic,Infant,Diabetic,55.0,125.0,65.0,105.0,3,2
VITAL00059,Blood_Pressure_Diastolic,Infant,Hypertensive,55.0,125.0,65.0,105.0,3,2
VITAL00060,Blood_Pressure_Diastolic,Infant,Cardiac,55.0,125.0,65.0,105.0,3,2
VITAL00061,Blood_Pressure_Diastolic,Infant,Respiratory,55.0,125.0,65.0,105.0,3,2
VITAL00062,Blood_Pressure_Diastolic,Infant,Renal,55.0,125.0,65.0,105.0,3,2
VITAL00063,Blood_Pressure_Diastolic,Infant,Pregnant,55.0,125.0,65.0,105.0,3,2
VITAL00064,Blood_Pressure_Diastolic,Child,Normal,55.0,125.0,65.0,105.0,3,2
VITAL00065,Blood_Pressure_Diastolic,Child,Diabetic,55.0,125.0,65.0,105.0,3,2
VITAL00066,Blood_Pressure_Diastolic,Child,Hypertensive,55.0,125.0,65.0,105.0,3,2
VITAL00067,Blood_Pressure_Diastolic,Child,Cardiac,55.0,125.0,65.0,105.0,3,2
VITAL00068,Blood_Pressure_Diastolic,Child,Respiratory,55.0,125.0,65.0,105.0,3,2
VITAL00069,Blood_Pressure_Diastolic,Child,Renal,55.0,125.0,65.0,105.0,3,2
VITAL00070,Blood_Pressure_Diastolic,Child,Pregnant,55.0,125.0,65.0,105.0,3,2
VITAL00071,Blood_Pressure_Diastolic,Adolescent,Normal,55.0,125.0,65.0,105.0,3,2
VITAL00072,Blood_Pressure_Diastolic,Adolescent,Diabetic,55.0,125.0,65.0,105.0,3,2
VITAL00073,Blood_Pressure_Diastolic,Adolescent,Hypertensive,55.0,125.0,65.0,105.0,3,2
VITAL00074,Blood_Pressure_Diastolic,Adolescent,Cardiac,55.0,125.0,65.0,105.0,3,2
VITAL00075,Blood_Pressure_Diastolic,Adolescent,Respiratory,55.0,125.0,65.0,105.0,3,2
VITAL00076,Blood_Pressure_Diastolic,Adolescent,Renal,55.0,125.0,65.0,105.0,3,2
VITAL00077,Blood_Pressure_Diastolic,Adolescent,Pregnant,55.0,125.0,65.0,105.0,3,2
VITAL00078,Blood_Pressure_Diastolic,Young_Adult,Normal,55.0,125.0,65.0,105.0,3,2
VITAL00079,Blood_Pressure_Diastolic,Young_Adult,Diabetic,55.0,125.0,65.0,105.0,3,2
VITAL00080,Blood_Pressure_Diastolic,Young_Adult,Hypertensive,55.0,125.0,65.0,105.0,3,2
VITAL00081,Blood_Pressure_Diastolic,Young_Adult,Cardiac,55.0,125.0,65.0,105.0,3,2
VITAL00082,Blood_Pressure_Diastolic,Young_Adult,Respiratory,55.0,125.0,65.0,105.0,3,2
VITAL00083,Blood_Pressure_Diastolic,Young_Adult,Renal,55.0,125.0,65.0,105.0,3,2
VITAL00084,Blood_Pressure_Diastolic,Young_Adult,Pregnant,55.0,125.0,65.0,105.0,3,2
VITAL00085,Blood_Pressure_Diastolic,Adult,Normal,55.0,125.0,65.0,105.0,3,2
VITAL00086,Blood_Pressure_Diastolic,Adult,Diabetic,55.0,125.0,65.0,105.0,3,2
VITAL00087,Blood_Pressure_Diastolic,Adult,Hypertensive,55.0,125.0,65.0,105.0,3,2
VITAL00088,Blood_Pressure_Diastolic,Adult,Cardiac,55.0,125.0,65.0,105.0,3,2
VITAL00089,Blood_Pressure_Diastolic,Adult,Respiratory,55.0,125.0,65.0,105.0,3,2
VITAL00090,Blood_Pressure_Diastolic,Adult,Renal,55.0,125.0,65.0,105.0,3,2
VITAL00091,Blood_Pressure_Diastolic,Adult,Pregnant,55.0,125.0,65.0,105.0,3,2
VITAL00092,Blood_Pressure_Diastolic,Middle_Age,Normal,55.0,125.0,65.0,105.0,3,2
VITAL00093,Blood_Pressure_Diastolic,Middle_Age,Diabetic,55.0,125.0,65.0,105.0,3,2
VITAL00094,Blood_Pressure_Diastolic,Middle_Age,Hypertensive,55.0,125.0,65.0,105.0,3,2
VITAL00095,Blood_Pressure_Diastolic,Middle_Age,Cardiac,55.0,125.0,65.0,105.0,3,2
VITAL00096,Blood_Pressure_Diastolic,Middle_Age,Respiratory,55.0,125.0,65.0,105.0,3,2
VITAL00097,Blood_Pressure_Diastolic,Middle_Age,Renal,55.0,125.0,65.0,105.0,3,2
VITAL00098,Blood_Pressure_Diastolic,Middle_Age,Pregnant,55.0,125.0,65.0,105.0,3,2
VITAL00099,Blood_Pressure_Diastolic,Elderly,Normal,55.0,125.0,65.0,105.0,3,2
VITAL00100,Blood_Pressure_Diastolic,Elderly,Diabetic,55.0,125.0,65.0,105.0,3,2
VITAL00101,Blood_Pressure_Diastolic,Elderly,Hypertensive,55.0,125.0,65.0,105.0,3,2
VITAL00102,Blood_Pressure_Diastolic,Elderly,Cardiac,55.0,125.0,65.0,105.0,3,2
VITAL00103,Blood_Pressure_Diastolic,Elderly,Respiratory,55.0,125.0,65.0,105.0,3,2
VITAL00104,Blood_Pressure_Diastolic,Elderly,Renal,55.0,125.0,65.0,105.0,3,2
VITAL00105,Blood_Pressure_Diastolic,Elderly,Pregnant,55.0,125.0,65.0,105.0,3,2
VITAL00106,Blood_Pressure_Diastolic,Very_Elderly,Normal,55.0,125.0,65.0,105.0,3,2
VITAL00107,Blood_Pressure_Diastolic,Very_Elderly,Diabetic,55.0,125.0,65.0,105.0,3,2
VITAL00108,Blood_Pressure_Diastolic,Very_Elderly,Hypertensive,55.0,125.0,65.0,105.0,3,2
VITAL00109,Blood_Pressure_Diastolic,Very_Elderly,Cardiac,55.0,125.0,65.0,105.0,3,2
VITAL00110,Blood_Pressure_Diastolic,Very_Elderly,Respiratory,55.0,125.0,65.0,105.0,3,2
VITAL00111,Blood_Pressure_Diastolic,Very_Elderly,Renal,55.0,125.0,65.0,105.0,3,2
VITAL00112,Blood_Pressure_Diastolic,Very_Elderly,Pregnant,55.0,125.0,65.0,105.0,3,2
VITAL00113,Heart_Rate,Infant,Normal,70.0,180.0,80.0,160.0,4,2
VITAL00114,Heart_Rate,Infant,Diabetic,70.0,180.0,80.0,160.0,4,2
VITAL00115,Heart_Rate,Infant,Hypertensive,70.0,180.0,80.0,160.0,4,2
VITAL00116,Heart_Rate,Infant,Cardiac,70.0,180.0,80.0,160.0,4,2
VITAL00117,Heart_Rate,Infant,Respiratory,70.0,180.0,80.0,160.0,4,2
VITAL00118,Heart_Rate,Infant,Renal,70.0,180.0,80.0,160.0,4,2
VITAL00119,Heart_Rate,Infant,Pregnant,70.0,180.0,80.0,160.0,4,2
VITAL00120,Heart_Rate,Child,Normal,70.0,180.0,80.0,160.0,4,2
VITAL00121,Heart_Rate,Child,Diabetic,70.0,180.0,80.0,160.0,4,2
VITAL00122,Heart_Rate,Child,Hypertensive,70.0,180.0,80.0,160.0,4,2
VITAL00123,Heart_Rate,Child,Cardiac,70.0,180.0,80.0,160.0,4,2
VITAL00124,Heart_Rate,Child,Respiratory,70.0,180.0,80.0,160.0,4,2
VITAL00125,Heart_Rate,Child,Renal,70.0,180.0,80.0,160.0,4,2
VITAL00126,Heart_Rate,Child,Pregnant,70.0,180.0,80.0,160.0,4,2
VITAL00127,Heart_Rate,Adolescent,Normal,45.0,135.0,55.0,115.0,4,2
VITAL00128,Heart_Rate,Adolescent,Diabetic,45.0,135.0,55.0,115.0,4,2
VITAL00129,Heart_Rate,Adolescent,Hypertensive,45.0,135.0,55.0,115.0,4,2
VITAL00130,Heart_Rate,Adolescent,Cardiac,45.0,135.0,55.0,115.0,4,2
VITAL00131,Heart_Rate,Adolescent,Respiratory,45.0,135.0,55.0,115.0,4,2
VITAL00132,Heart_Rate,Adolescent,Renal,45.0,135.0,55.0,115.0,4,2
VITAL00133,Heart_Rate,Adolescent,Pregnant,45.0,135.0,55.0,115.0,4,2
VITAL00134,Heart_Rate,Young_Adult,Normal,45.0,135.0,55.0,115.0,4,2
VITAL00135,Heart_Rate,Young_Adult,Diabetic,45.0,135.0,55.0,115.0,4,2
VITAL00136,Heart_Rate,Young_Adult,Hypertensive,45.0,135.0,55.0,115.0,4,2
VITAL00137,Heart_Rate,Young_Adult,Cardiac,45.0,135.0,55.0,115.0,4,2
VITAL00138,Heart_Rate,Young_Adult,Respiratory,45.0,135.0,55.0,115.0,4,2
VITAL00139,Heart_Rate,Young_Adult,Renal,45.0,135.0,55.0,115.0,4,2
VITAL00140,Heart_Rate,Young_Adult,Pregnant,45.0,135.0,55.0,115.0,4,2
VITAL00141,Heart_Rate,Adult,Normal,45.0,135.0,55.0,115.0,4,2
VITAL00142,Heart_Rate,Adult,Diabetic,45.0,135.0,55.0,115.0,4,2
VITAL00143,Heart_Rate,Adult,Hypertensive,45.0,135.0,55.0,115.0,4,2
VITAL00144,Heart_Rate,Adult,Cardiac,45.0,135.0,55.0,115.0,4,2
VITAL00145,Heart_Rate,Adult,Respiratory,45.0,135.0,55.0,115.0,4,2
VITAL00146,Heart_Rate,Adult,Renal,45.0,135.0,55.0,115.0,4,2
VITAL00147,Heart_Rate,Adult,Pregnant,45.0,135.0,55.0,115.0,4,2
VITAL00148,Heart_Rate,Middle_Age,Normal,45.0,135.0,55.0,115.0,4,2
VITAL00149,Heart_Rate,Middle_Age,Diabetic,45.0,135.0,55.0,115.0,4,2
VITAL00150,Heart_Rate,Middle_Age,Hypertensive,45.0,135.0,55.0,115.0,4,2
VITAL00151,Heart_Rate,Middle_Age,Cardiac,45.0,135.0,55.0,115.0,4,2
VITAL00152,Heart_Rate,Middle_Age,Respiratory,45.0,135.0,55.0,115.0,4,2
VITAL00153,Heart_Rate,Middle_Age,Renal,45.0,135.0,55.0,115.0,4,2
VITAL00154,Heart_Rate,Middle_Age,Pregnant,45.0,135.0,55.0,115.0,4,2
VITAL00155,Heart_Rate,Elderly,Normal,45.0,135.0,55.0,115.0,4,2
VITAL00156,Heart_Rate,Elderly,Diabetic,45.0,135.0,55.0,115.0,4,2
VITAL00157,Heart_Rate,Elderly,Hypertensive,45.0,135.0,55.0,115.0,4,2
VITAL00158,Heart_Rate,Elderly,Cardiac,45.0,135.0,55.0,115.0,4,2
VITAL00159,Heart_Rate,Elderly,Respiratory,45.0,135.0,55.0,115.0,4,2
VITAL00160,Heart_Rate,Elderly,Renal,45.0,135.0,55.0,115.0,4,2
VITAL00161,Heart_Rate,Elderly,Pregnant,45.0,135.0,55.0,115.0,4,2
VITAL00162,Heart_Rate,Very_Elderly,Normal,45.0,135.0,55.0,115.0,4,2
VITAL00163,Heart_Rate,Very_Elderly,Diabetic,45.0,135.0,55.0,115.0,4,2
VITAL00164,Heart_Rate,Very_Elderly,Hypertensive,45.0,135.0,55.0,115.0,4,2
VITAL00165,Heart_Rate,Very_Elderly,Cardiac,45.0,135.0,55.0,115.0,4,2
VITAL00166,Heart_Rate,Very_Elderly,Respiratory,45.0,135.0,55.0,115.0,4,2
VITAL00167,Heart_Rate,Very_Elderly,Renal,45.0,135.0,55.0,115.0,4,2
VITAL00168,Heart_Rate,Very_Elderly,Pregnant,45.0,135.0,55.0,115.0,4,2
VITAL00169,Respiratory_Rate,Infant,Normal,15.0,50.0,20.0,40.0,3,2
VITAL00170,Respiratory_Rate,Infant,Diabetic,15.0,50.0,20.0,40.0,3,2
VITAL00171,Respiratory_Rate,Infant,Hypertensive,15.0,50.0,20.0,40.0,3,2
VITAL00172,Respiratory_Rate,Infant,Cardiac,15.0,50.0,20.0,40.0,3,2
VITAL00173,Respiratory_Rate,Infant,Respiratory,15.0,50.0,20.0,40.0,3,2
VITAL00174,Respiratory_Rate,Infant,Renal,15.0,50.0,20.0,40.0,3,2
VITAL00175,Respiratory_Rate,Infant,Pregnant,15.0,50.0,20.0,40.0,3,2
VITAL00176,Respiratory_Rate,Child,Normal,15.0,50.0,20.0,40.0,3,2
VITAL00177,Respiratory_Rate,Child,Diabetic,15.0,50.0,20.0,40.0,3,2
VITAL00178,Respiratory_Rate,Child,Hypertensive,15.0,50.0,20.0,40.0,3,2
VITAL00179,Respiratory_Rate,Child,Cardiac,15.0,50.0,20.0,40.0,3,2
VITAL00180,Respiratory_Rate,Child,Respiratory,15.0,50.0,20.0,40.0,3,2
VITAL00181,Respiratory_Rate,Child,Renal,15.0,50.0,20.0,40.0,3,2
VITAL00182,Respiratory_Rate,Child,Pregnant,15.0,50.0,20.0,40.0,3,2
VITAL00183,Respiratory_Rate,Adolescent,Normal,8.0,32.0,10.0,26.0,3,2
VITAL00184,Respiratory_Rate,Adolescent,Diabetic,8.0,32.0,10.0,26.0,3,2
VITAL00185,Respiratory_Rate,Adolescent,Hypertensive,8.0,32.0,10.0,26.0,3,2
VITAL00186,Respiratory_Rate,Adolescent,Cardiac,8.0,32.0,10.0,26.0,3,2
VITAL00187,Respiratory_Rate,Adolescent,Respiratory,8.0,32.0,10.0,26.0,3,2
VITAL00188,Respiratory_Rate,Adolescent,Renal,8.0,32.0,10.0,26.0,3,2
VITAL00189,Respiratory_Rate,Adolescent,Pregnant,8.0,32.0,10.0,26.0,3,2
VITAL00190,Respiratory_Rate,Young_Adult,Normal,8.0,32.0,10.0,26.0,3,2
VITAL00191,Respiratory_Rate,Young_Adult,Diabetic,8.0,32.0,10.0,26.0,3,2
VITAL00192,Respiratory_Rate,Young_Adult,Hypertensive,8.0,32.0,10.0,26.0,3,2
VITAL00193,Respiratory_Rate,Young_Adult,Cardiac,8.0,32.0,10.0,26.0,3,2
VITAL00194,Respiratory_Rate,Young_Adult,Respiratory,8.0,32.0,10.0,26.0,3,2
VITAL00195,Respiratory_Rate,Young_Adult,Renal,8.0,32.0,10.0,26.0,3,2
VITAL00196,Respiratory_Rate,Young_Adult,Pregnant,8.0,32.0,10.0,26.0,3,2
VITAL00197,Respiratory_Rate,Adult,Normal,8.0,32.0,10.0,26.0,3,2
VITAL00198,Respiratory_Rate,Adult,Diabetic,8.0,32.0,10.0,26.0,3,2
VITAL00199,Respiratory_Rate,Adult,Hypertensive,8.0,32.0,10.0,26.0,3,2
VITAL00200,Respiratory_Rate,Adult,Cardiac,8.0,32.0,10.0,26.0,3,2
VITAL00201,Respiratory_Rate,Adult,Respiratory,8.0,32.0,10.0,26.0,3,2
VITAL00202,Respiratory_Rate,Adult,Renal,8.0,32.0,10.0,26.0,3,2
VITAL00203,Respiratory_Rate,Adult,Pregnant,8.0,32.0,10.0,26.0,3,2
VITAL00204,Respiratory_Rate,Middle_Age,Normal,8.0,32.0,10.0,26.0,3,2
VITAL00205,Respiratory_Rate,Middle_Age,Diabetic,8.0,32.0,10.0,26.0,3,2
VITAL00206,Respiratory_Rate,Middle_Age,Hypertensive,8.0,32.0,10.0,26.0,3,2
VITAL00207,Respiratory_Rate,Middle_Age,Cardiac,8.0,32.0,10.0,26.0,3,2
VITAL00208,Respiratory_Rate,Middle_Age,Respiratory,8.0,32.0,10.0,26.0,3,2
VITAL00209,Respiratory_Rate,Middle_Age,Renal,8.0,32.0,10.0,26.0,3,2
VITAL00210,Respiratory_Rate,Middle_Age,Pregnant,8.0,32.0,10.0,26.0,3,2
VITAL00211,Respiratory_Rate,Elderly,Normal,8.0,32.0,10.0,26.0,3,2
VITAL00212,Respiratory_Rate,Elderly,Diabetic,8.0,32.0,10.0,26.0,3,2
VITAL00213,Respiratory_Rate,Elderly,Hypertensive,8.0,32.0,10.0,26.0,3,2
VITAL00214,Respiratory_Rate,Elderly,Cardiac,8.0,32.0,10.0,26.0,3,2
VITAL00215,Respiratory_Rate,Elderly,Respiratory,8.0,32.0,10.0,26.0,3,2
VITAL00216,Respiratory_Rate,Elderly,Renal,8.0,32.0,10.0,26.0,3,2
VITAL00217,Respiratory_Rate,Elderly,Pregnant,8.0,32.0,10.0,26.0,3,2
VITAL00218,Respiratory_Rate,Very_Elderly,Normal,8.0,32.0,10.0,26.0,3,2
VITAL00219,Respiratory_Rate,Very_Elderly,Diabetic,8.0,32.0,10.0,26.0,3,2
VITAL00220,Respiratory_Rate,Very_Elderly,Hypertensive,8.0,32.0,10.0,26.0,3,2
VITAL00221,Respiratory_Rate,Very_Elderly,Cardiac,8.0,32.0,10.0,26.0,3,2
VITAL00222,Respiratory_Rate,Very_Elderly,Respiratory,8.0,32.0,10.0,26.0,3,2
VITAL00223,Respiratory_Rate,Very_Elderly,Renal,8.0,32.0,10.0,26.0,3,2
VITAL00224,Respiratory_Rate,Very_Elderly,Pregnant,8.0,32.0,10.0,26.0,3,2
VITAL00225,Temperature,Infant,Normal,35.0,40.0,35.8,38.8,3,2
VITAL00226,Temperature,Infant,Diabetic,35.0,40.0,35.8,38.8,3,2
VITAL00227,Temperature,Infant,Hypertensive,35.0,40.0,35.8,38.8,3,2
VITAL00228,Temperature,Infant,Cardiac,35.0,40.0,35.8,38.8,3,2
VITAL00229,Temperature,Infant,Respiratory,35.0,40.0,35.8,38.8,3,2
VITAL00230,Temperature,Infant,Renal,35.0,40.0,35.8,38.8,3,2
VITAL00231,Temperature,Infant,Pregnant,35.0,40.0,35.8,38.8,3,2
VITAL00232,Temperature,Child,Normal,35.0,40.0,35.8,38.8,3,2
VITAL00233,Temperature,Child,Diabetic,35.0,40.0,35.8,38.8,3,2
VITAL00234,Temperature,Child,Hypertensive,35.0,40.0,35.8,38.8,3,2
VITAL00235,Temperature,Child,Cardiac,35.0,40.0,35.8,38.8,3,2
VITAL00236,Temperature,Child,Respiratory,35.0,40.0,35.8,38.8,3,2
VITAL00237,Temperature,Child,Renal,35.0,40.0,35.8,38.8,3,2
VITAL00238,Temperature,Child,Pregnant,35.0,40.0,35.8,38.8,3,2
VITAL00239,Temperature,Adolescent,Normal,35.0,40.0,35.8,38.8,3,2
VITAL00240,Temperature,Adolescent,Diabetic,35.0,40.0,35.8,38.8,3,2
VITAL00241,Temperature,Adolescent,Hypertensive,35.0,40.0,35.8,38.8,3,2
VITAL00242,Temperature,Adolescent,Cardiac,35.0,40.0,35.8,38.8,3,2
VITAL00243,Temperature,Adolescent,Respiratory,35.0,40.0,35.8,38.8,3,2
VITAL00244,Temperature,Adolescent,Renal,35.0,40.0,35.8,38.8,3,2
VITAL00245,Temperature,Adolescent,Pregnant,35.0,40.0,35.8,38.8,3,2
VITAL00246,Temperature,Young_Adult,Normal,35.0,40.0,35.8,38.8,3,2
VITAL00247,Temperature,Young_Adult,Diabetic,35.0,40.0,35.8,38.8,3,2
VITAL00248,Temperature,Young_Adult,Hypertensive,35.0,40.0,35.8,38.8,3,2
VITAL00249,Temperature,Young_Adult,Cardiac,35.0,40.0,35.8,38.8,3,2
VITAL00250,Temperature,Young_Adult,Respiratory,35.0,40.0,35.8,38.8,3,2
VITAL00251,Temperature,Young_Adult,Renal,35.0,40.0,35.8,38.8,3,2
VITAL00252,Temperature,Young_Adult,Pregnant,35.0,40.0,35.8,38.8,3,2
VITAL00253,Temperature,Adult,Normal,35.0,40.0,35.8,38.8,3,2
VITAL00254,Temperature,Adult,Diabetic,35.0,40.0,35.8,38.8,3,2
VITAL00255,Temperature,Adult,Hypertensive,35.0,40.0,35.8,38.8,3,2
VITAL00256,Temperature,Adult,Cardiac,35.0,40.0,35.8,38.8,3,2
VITAL00257,Temperature,Adult,Respiratory,35.0,40.0,35.8,38.8,3,2
VITAL00258,Temperature,Adult,Renal,35.0,40.0,35.8,38.8,3,2
VITAL00259,Temperature,Adult,Pregnant,35.0,40.0,35.8,38.8,3,2
VITAL00260,Temperature,Middle_Age,Normal,35.0,40.0,35.8,38.8,3,2
VITAL00261,Temperature,Middle_Age,Diabetic,35.0,40.0,35.8,38.8,3,2
VITAL00262,Temperature,Middle_Age,Hypertensive,35.0,40.0,35.8,38.8,3,2
VITAL00263,Temperature,Middle_Age,Cardiac,35.0,40.0,35.8,38.8,3,2
VITAL00264,Temperature,Middle_Age,Respiratory,35.0,40.0,35.8,38.8,3,2
VITAL00265,Temperature,Middle_Age,Renal,35.0,40.0,35.8,38.8,3,2
VITAL00266,Temperature,Middle_Age,Pregnant,35.0,40.0,35.8,38.8,3,2
VITAL00267,Temperature,Elderly,Normal,35.0,40.0,35.8,38.8,3,2
VITAL00268,Temperature,Elderly,Diabetic,35.0,40.0,35.8,38.8,3,2
VITAL00269,Temperature,Elderly,Hypertensive,35.0,40.0,35.8,38.8,3,2
VITAL00270,Temperature,Elderly,Cardiac,35.0,40.0,35.8,38.8,3,2
VITAL00271,Temperature,Elderly,Respiratory,35.0,40.0,35.8,38.8,3,2
VITAL00272,Temperature,Elderly,Renal,35.0,40.0,35.8,38.8,3,2
VITAL00273,Temperature,Elderly,Pregnant,35.0,40.0,35.8,38.8,3,2
VITAL00274,Temperature,Very_Elderly,Normal,35.0,40.0,35.8,38.8,3,2
VITAL00275,Temperature,Very_Elderly,Diabetic,35.0,40.0,35.8,38.8,3,2
VITAL00276,Temperature,Very_Elderly,Hypertensive,35.0,40.0,35.8,38.8,3,2
VITAL00277,Temperature,Very_Elderly,Cardiac,35.0,40.0,35.8,38.8,3,2
VITAL00278,Temperature,Very_Elderly,Respiratory,35.0,40.0,35.8,38.8,3,2
VITAL00279,Temperature,Very_Elderly,Renal,35.0,40.0,35.8,38.8,3,2
VITAL00280,Temperature,Very_Elderly,Pregnant,35.0,40.0,35.8,38.8,3,2
VITAL00281,Oxygen_Saturation,Infant,Normal,88.0,999.0,93.0,999.0,4,2
VITAL00282,Oxygen_Saturation,Infant,Diabetic,88.0,999.0,93.0,999.0,4,2
VITAL00283,Oxygen_Saturation,Infant,Hypertensive,88.0,999.0,93.0,999.0,4,2
VITAL00284,Oxygen_Saturation,Infant,Cardiac,88.0,999.0,93.0,999.0,4,2
